date,co2,treatment_dummy,post_dummy,treatment_post_dummy
2016-11-01,17942406160.0,0,1,0
2016-12-01,18321029090.0,0,1,0
2010-01-01,12041412130.0,0,0,0
2010-02-01,10643302010.0,0,0,0
2010-03-01,10230824420.0,0,0,0
2010-04-01,8108937614.0,0,0,0
2010-05-01,6569283744.0,0,0,0
2010-06-01,6193211735.0,0,0,0
2010-07-01,6088090109.0,0,0,0
2010-08-01,5939809667.0,0,0,0
2010-09-01,6604756788.0,0,0,0
2010-10-01,9417635914.0,0,0,0
2010-11-01,8995882252.0,0,0,0
2010-12-01,11656001090.0,0,0,0
2016-01-01,11334309720.0,0,1,0
2016-02-01,9221552624.0,0,1,0
2016-03-01,9461979439.0,0,1,0
2016-04-01,7513526014.0,0,1,0
2016-05-01,6488194837.0,0,1,0
2016-06-01,5839154126.0,0,1,0
2016-07-01,5655915726.0,0,1,0
2016-08-01,5795295123.0,0,1,0
2016-09-01,6369184045.0,0,1,0
2016-10-01,8924906247.0,0,1,0
2016-11-01,10165257120.0,0,1,0
2016-12-01,11121662380.0,0,1,0
2010-01-01,4749983094.0,0,0,0
2010-02-01,4458324909.0,0,0,0
2010-03-01,4274101044.0,0,0,0
2010-04-01,3704035836.0,0,0,0
2010-05-01,3241789987.0,0,0,0
2010-06-01,2971875124.0,0,0,0
2010-07-01,2891713458.0,0,0,0
2010-08-01,2760895972.0,0,0,0
2010-09-01,3174701162.0,0,0,0
2010-10-01,4008171399.0,0,0,0
2010-11-01,4034008733.0,0,0,0
2010-12-01,4784691103.0,0,0,0
2016-01-01,4295911180.0,0,1,0
2016-02-01,3915014726.0,0,1,0
2016-03-01,3958379812.0,0,1,0
2016-04-01,3506898037.0,0,1,0
2016-05-01,3075140864.0,0,1,0
2016-06-01,2882724639.0,0,1,0
2016-07-01,2744269158.0,0,1,0
2016-08-01,2698594200.0,0,1,0
2016-09-01,2920560842.0,0,1,0
2016-10-01,3651409439.0,0,1,0
2016-11-01,4009769941.0,0,1,0
2016-12-01,4234661153.0,0,1,0
2010-01-01,29951515140.0,0,0,0
2010-02-01,27919733320.0,0,0,0
2010-03-01,27366364840.0,0,0,0
2010-04-01,24975865630.0,0,0,0
2010-05-01,24637214620.0,0,0,0
2010-06-01,24954588060.0,0,0,0
2010-07-01,25999815830.0,0,0,0
2010-08-01,25291664130.0,0,0,0
2010-09-01,26383672950.0,0,0,0
2010-10-01,26070100730.0,0,0,0
2010-11-01,28491558050.0,0,0,0
2010-12-01,29741512700.0,0,0,0
2016-01-01,28300591740.0,0,1,0
2016-02-01,26150974960.0,0,1,0
2016-03-01,26728508200.0,0,1,0
2016-04-01,24158631570.0,0,1,0
2016-05-01,22607461820.0,0,1,0
2016-06-01,23225980080.0,0,1,0
2016-07-01,23758099880.0,0,1,0
2016-08-01,23548701190.0,0,1,0
2016-09-01,23817583760.0,0,1,0
2016-10-01,24902587420.0,0,1,0
2016-11-01,27758096100.0,0,1,0
2016-12-01,29508779810.0,0,1,0
2010-01-01,53601086590.0,1,0,0
2010-02-01,49627031580.0,1,0,0
