date,act,pred
2004-11-01,0.07563659831109604,198719283.36590892
2004-12-01,0.1502101097374755,191709536.783839
2005-01-01,0.18948321979218363,325528266.94791335
2005-02-01,0.1926932794165559,191245382.2124691
2005-03-01,0.03524426066021391,-44682289.55367448
2005-04-01,0.03608461226324877,-54826218.88476671
2005-05-01,-0.0020487313954333786,41562818.7140993
2005-06-01,0.03294931265552847,60592537.04647635
2005-07-01,0.013551201075394204,47795006.81170304
2005-08-01,0.029238061865775933,12421530.933668777
2005-09-01,-0.00479868159226271,-55040237.48684297
2005-10-01,-0.015264104955232227,-37739164.80101305
2005-11-01,0.003554795103276831,121576.06106711924
2005-12-01,-0.05344805991958168,45119771.83597438
2006-01-01,-0.012073005794132285,20073900.995120347
2006-02-01,-0.04416791317790825,-76083818.87643768
2006-03-01,-0.08813009177881526,-204513456.5478161
2006-04-01,-0.07720325044743603,-202296664.53047037
2006-05-01,-0.010353833297759962,-131279331.6856679
2006-06-01,-0.04947037053149472,-157505431.6908942
2006-07-01,-0.0032653271924090177,-91986698.29272678
2006-08-01,0.03379342495818349,-192615865.34242302
2006-09-01,0.013137139953325772,-74712818.97128414
2006-10-01,-0.09271854724490325,-176182182.48154676
2006-11-01,-0.22580575298851002,-414982375.5157365
2006-12-01,-0.07874955917290549,-273997694.4145664
2007-01-01,-0.04278126726947562,-232022844.5334986
2007-02-01,-0.18591587592370473,-405811358.05057395
2007-03-01,-0.05421140387927181,-53061948.33669242
2007-04-01,0.05626083388636616,128035339.17682005
2007-05-01,-0.01925211001904259,26075844.42095466
2007-06-01,-0.042578212666917636,61689725.6772808
2007-07-01,-0.06279444765582909,-36479615.62874554
2007-08-01,-0.09666096807719882,76554462.81238179
2007-09-01,-0.0421524212931601,-17970912.056415066
2007-10-01,0.053873267235101,132505076.48404734
2007-11-01,0.20378218666132142,453683647.8965225
2007-12-01,0.11734385939560354,251598473.8406124
2008-01-01,-0.09912907589133368,-357281134.4398218
2008-02-01,0.03898534122041397,-124685087.83842552
2008-03-01,0.04197238634123579,-276336319.1301429
2008-04-01,-0.12461209460587241,-310706209.09188867
2008-05-01,-0.03420290347223087,-336397983.03695273
2008-06-01,-0.05990967019532789,-427178764.1781849
2008-07-01,-0.006303137396663772,-360062249.35211545
2008-08-01,0.0026695804715792804,-330105573.5035781
2008-09-01,0.010606957510873372,-318699086.0298895
2008-10-01,0.02285174084871855,-343714467.82585883
2008-11-01,0.005756593700688484,-419440861.5166329
2008-12-01,-0.10585916376744109,-494952297.8306561
2009-01-01,0.04171416456793864,-212697660.76956433
2009-02-01,-0.02340468658410444,-387461479.9000893
2009-03-01,-0.04517115336967947,-362534321.4019133
2009-04-01,0.1479218275480001,-307585565.8952479
2009-05-01,0.026616026150840355,-335318112.6072958
2009-06-01,0.07746478096664688,-263460363.16972
2009-07-01,0.0010671626040874571,-288712064.19674146
2009-08-01,0.02395495758426236,-303302348.24471396
2009-09-01,0.007601507586493028,-320633516.5498215
2009-10-01,-0.05471631373348984,-339847996.5454068
2009-11-01,-0.15994607954984374,-596609931.3922402
2009-12-01,-0.04593973157009046,-393000208.4331182
2010-01-01,-0.2258820023877135,-273969709.3579229
2010-02-01,-0.11531286618395242,-117645138.43173009
2010-03-01,-0.1437231720866059,-136034166.0944113
2010-04-01,-0.2617986230387537,-294484110.43842655
2010-05-01,-0.07649985027436301,-163772810.10814616
2010-06-01,-0.0816480075339463,-191793136.9689123
2010-07-01,-0.01825299241117051,-144256889.8291157
