Country,1975-Q1,,1975-Q2,,1975-Q3,,1975-Q4,,1976-Q1,,1976-Q2,,1976-Q3,,1976-Q4,,1977-Q1,,1977-Q2,,1977-Q3,,1977-Q4,,1978-Q1,,1978-Q2,,1978-Q3,,1978-Q4,,1979-Q1,,1979-Q2,,1979-Q3,,1979-Q4,,1980-Q1,,1980-Q2,,1980-Q3,,1980-Q4,,1981-Q1,,1981-Q2,,1981-Q3,,1981-Q4,,1982-Q1,,1982-Q2,,1982-Q3,,1982-Q4,,1983-Q1,,1983-Q2,,1983-Q3,,1983-Q4,,1984-Q1,,1984-Q2,,1984-Q3,,1984-Q4,,1985-Q1,,1985-Q2,,1985-Q3,,1985-Q4,,1986-Q1,,1986-Q2,,1986-Q3,,1986-Q4,,1987-Q1,,1987-Q2,,1987-Q3,,1987-Q4,,1988-Q1,,1988-Q2,,1988-Q3,,1988-Q4,,1989-Q1,,1989-Q2,,1989-Q3,,1989-Q4,,1990-Q1,,1990-Q2,,1990-Q3,,1990-Q4,,1991-Q1,,1991-Q2,,1991-Q3,,1991-Q4,,1992-Q1,,1992-Q2,,1992-Q3,,1992-Q4,,1993-Q1,,1993-Q2,,1993-Q3,,1993-Q4,,1994-Q1,,1994-Q2,,1994-Q3,,1994-Q4,,1995-Q1,,1995-Q2,,1995-Q3,,1995-Q4,,1996-Q1,,1996-Q2,,1996-Q3,,1996-Q4,,1997-Q1,,1997-Q2,,1997-Q3,,1997-Q4,,1998-Q1,,1998-Q2,,1998-Q3,,1998-Q4,,1999-Q1,,1999-Q2,,1999-Q3,,1999-Q4,,2000-Q1,,2000-Q2,,2000-Q3,,2000-Q4,,2001-Q1,,2001-Q2,,2001-Q3,,2001-Q4,,2002-Q1,,2002-Q2,,2002-Q3,,2002-Q4,,2003-Q1,,2003-Q2,,2003-Q3,,2003-Q4,,2004-Q1,,2004-Q2,,2004-Q3,,2004-Q4,,2005-Q1,,2005-Q2,,2005-Q3,,2005-Q4,,2006-Q1,,2006-Q2,,2006-Q3,,2006-Q4,,2007-Q1,,2007-Q2,,2007-Q3,,2007-Q4,,2008-Q1,,2008-Q2,,2008-Q3,,2008-Q4,,2009-Q1,,2009-Q2,,2009-Q3,,2009-Q4,,2010-Q1,,2010-Q2,,2010-Q3,,2010-Q4,,2011-Q1,,2011-Q2,,2011-Q3,,2011-Q4,,2012-Q1,,2012-Q2,,2012-Q3,,2012-Q4,,2013-Q1,,2013-Q2,,2013-Q3,,2013-Q4,,2014-Q1,,2014-Q2,,2014-Q3,,2014-Q4,,2015-Q1,,2015-Q2,,2015-Q3,,2015-Q4,,2016-Q1,,2016-Q2,,2016-Q3,,2016-Q4,,2017-Q1,,2017-Q2,,2017-Q3,,2017-Q4,,2018-Q1,,2018-Q2,,2018-Q3,,2018-Q4,,2019-Q1,,2019-Q2,,2019-Q3,,2019-Q4,,2020-Q1,,2020-Q2,,2020-Q3,,2020-Q4,,2021-Q1,,2021-Q2,,2021-Q3,,2021-Q4,,2022-Q1,,2022-Q2,,2022-Q3,,2022-Q4,,2023-Q1,,2023-Q2,
Slovenia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,3922.10,,4115.90,,4194.80,,4160.90,,4080.50,,4156.90,,4355.60,,4372.40,,4440.60,,4590.10,,4624.30,,4650.40,,4738.30,,4877.50,,4997.10,,5099.50,,5190.50,,5233.00,,5237.50,,5385.70,,5382.50,,5422.50,,5521.90,,5598.40,,5664.40,,5783.30,,5895.20,,6028.90,,6170.30,,6205.50,,6279.80,,6384.00,,6426.60,,6527.10,,6602.20,,6666.30,,6773.20,,6793.20,,6900.80,,6978.20,,7064.90,,7213.50,,7294.90,,7464.20,,7577.90,,7789.10,,7993.50,,8254.50,,8483.10,,8717.20,,8964.30,,9142.20,,9360.90,,9484.50,,9571.20,,9527.60,,9083.70,,8998.40,,8979.00,,8999.90,,8917.10,,9069.00,,9060.10,,9113.70,,9319.30,,9290.90,,9223.20,,9244.40,,9136.80,,9087.90,,9050.10,,8955.30,,9045.70,,9106.60,,9146.50,,9268.10,,9345.50,,9441.70,,9476.90,,9407.20,,9622.90,,9635.30,,9715.10,,9790.50,,9849.40,,9986.80,,10142.50,,10316.60,,10483.00,,10637.70,,10825.00,,11208.00,,11246.00,,11337.70,,11628.60,,11863.40,,12030.50,,11946.60,,12271.70,,12497.50,,11845.60,,10796.50,,11985.10,,12086.30,,12444.20,,12817.70,,13178.50,,13637.30,,13598.00,,14121.50,,14561.70,,14735.70,,15247.30,,15722.60,
Slovakia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,3592.60,,4061.50,,3767.40,,3888.70,,4085.20,,4219.10,,4319.20,,4429.90,,4615.20,,4784.20,,4967.90,,4964.40,,5077.30,,5194.80,,5177.20,,4919.50,,4854.70,,4722.30,,4876.20,,5074.30,,5419.60,,5551.40,,5669.20,,5742.60,,5751.40,,5973.80,,6037.10,,6150.20,,6427.20,,6426.10,,6518.90,,6986.20,,7149.20,,7503.40,,7561.60,,7912.40,,8311.20,,8508.80,,8803.30,,9142.30,,9587.00,,9665.60,,9941.20,,10214.10,,10766.30,,11123.70,,11366.80,,12393.60,,13269.90,,13845.20,,14373.50,,14873.70,,15403.90,,16450.20,,17168.90,,17132.10,,15684.70,,15848.50,,16099.90,,16462.50,,16796.00,,17060.90,,17385.60,,17522.50,,17650.80,,17899.20,,18002.40,,18233.40,,18308.30,,18377.10,,18477.60,,18486.20,,18521.90,,18587.80,,18644.50,,18738.60,,18850.50,,18984.20,,19175.90,,19344.00,,19728.50,,19940.20,,20158.50,,20298.70,,20193.60,,20261.10,,20307.40,,20503.20,,20739.40,,21000.50,,21284.50,,21645.50,,21928.90,,22336.50,,22719.00,,22890.30,,23272.10,,23497.40,,23674.70,,23985.50,,23470.30,,21761.20,,23958.50,,24254.00,,24121.00,,24859.90,,25366.10,,25908.70,,26328.40,,27097.10,,27757.40,,28462.30,,29384.80,,30119.00,
Finland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,28276.20,,28083.60,,27726.60,,27324.60,,26520.60,,26777.50,,25906.40,,24233.30,,22775.60,,22590.90,,21801.00,,19938.10,,18446.10,,18942.60,,19146.80,,19570.00,,20547.10,,20894.10,,21849.80,,24000.80,,24504.20,,25787.70,,26107.70,,26287.30,,25627.30,,25404.60,,26229.20,,26869.80,,27166.30,,27428.50,,28331.70,,29101.80,,29101.40,,29729.80,,30267.50,,30633.30,,31241.00,,31491.00,,31890.00,,32294.00,,33098.00,,33675.00,,34473.00,,35196.00,,35898.00,,36108.00,,36365.00,,36257.00,,36722.00,,37164.00,,37042.00,,37558.00,,37380.00,,37780.00,,38134.00,,38455.00,,39032.00,,39412.00,,39813.00,,40501.00,,41013.00,,40730.00,,41237.00,,41707.00,,42436.00,,42785.00,,43523.00,,44153.00,,45395.00,,46465.00,,47082.00,,48130.00,,48490.00,,48620.00,,49155.00,,48000.00,,45732.00,,45205.00,,45480.00,,45330.00,,45618.00,,47016.00,,47029.00,,48480.00,,48989.00,,49352.00,,49702.00,,49955.00,,50380.00,,50085.00,,50195.00,,50377.00,,50480.00,,51009.00,,51337.00,,51495.00,,51369.00,,51594.00,,51945.00,,51989.00,,52051.00,,52935.00,,53031.00,,53368.00,,53894.00,,53994.00,,54719.00,,54911.00,,55690.00,,56393.00,,56741.00,,57477.00,,57907.00,,58116.00,,58498.00,,58941.00,,59234.00,,59954.00,,60203.00,,60467.00,,60865.00,,57273.00,,59759.00,,60141.00,,60481.00,,62160.00,,63437.00,,64841.00,,65552.00,,66792.00,,67952.00,,68345.00,,69636.00,,70165.00,
Sweden,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,45141.00,,45826.90,,45513.60,,45231.10,,47783.60,,48109.10,,47046.20,,49699.30,,49701.50,,48895.40,,50898.40,,55102.50,,56353.40,,57288.90,,58301.90,,57971.70,,57672.20,,57770.60,,59958.60,,61568.90,,60742.20,,62486.90,,60180.50,,58606.10,,61850.20,,62899.20,,64978.90,,67167.50,,68805.10,,72815.60,,72703.50,,70920.30,,68431.90,,68668.80,,66449.90,,67289.50,,69578.10,,70959.90,,70906.90,,72485.90,,73282.80,,73026.20,,74373.20,,76262.10,,75900.60,,76792.90,,77781.70,,79221.90,,79081.50,,78606.60,,78783.10,,78830.30,,81322.70,,83550.70,,85233.80,,87322.70,,88650.30,,89119.90,,89648.60,,91823.80,,90693.40,,91244.60,,90765.30,,82541.30,,75914.10,,77349.10,,80162.10,,81365.00,,87196.60,,91515.10,,95940.00,,99697.80,,103993.70,,102984.90,,103207.30,,102199.50,,105218.70,,105673.40,,111296.60,,108496.20,,111666.30,,110885.60,,110462.30,,109445.80,,110793.10,,109973.90,,109279.60,,109702.90,,111164.20,,113781.50,,113889.80,,116630.00,,116440.20,,117858.00,,115915.20,,115220.90,,119252.30,,119319.40,,121216.60,,120072.70,,119507.70,,117154.90,,115370.20,,119012.00,,119953.80,,118823.80,,118492.30,,119953.90,,120632.60,,112218.60,,121847.30,,125614.80,,130894.30,,132158.60,,135244.80,,141199.00,,136901.40,,141570.20,,143246.10,,139747.80,,139144.80,,135788.30,
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,8938.80,,8879.90,,9214.10,,9508.60,,9159.20,,9616.30,,9880.80,,10126.70,,11034.10,,11421.10,,11548.00,,12385.30,,13154.40,,14511.40,,14795.70,,14729.50,,15706.50,,16342.90,,16307.90,,15755.20,,16073.80,,17004.50,,17886.00,,18369.50,,18807.60,,19612.60,,20239.70,,20262.70,,21072.80,,21102.20,,22154.80,,22043.00,,21318.50,,19832.70,,19460.30,,19568.40,,19302.00,,20648.20,,21058.20,,20777.30,,21227.10,,21745.90,,21743.80,,21536.60,,22788.80,,23634.90,,23495.50,,23278.20,,22930.30,,23077.00,,23565.10,,24754.00,,24446.40,,24673.20,,24667.30,,24764.80,,25057.10,,25213.10,,25456.50,,25386.40,,25002.50,,25493.80,,26028.80,,26422.40,,26015.40,,26603.50,,26824.30,,27705.30,,28678.70,,28788.30,,29171.80,,29599.20,,31061.50,,31319.40,,32631.50,,33681.60,,35417.00,,35170.00,,35246.50,,36551.50,,34827.70,,35184.00,,34227.10,,33388.90,,34310.90,,36906.10,,39530.10,,41790.20,,44474.80,,44994.90,,47375.60,,49201.70,,47798.60,,49900.90,,48810.40,,48178.90,,48774.10,,52405.30,,53040.90,,54203.20,,53280.30,,49943.80,,49738.80,,50241.60,,49802.00,,53405.00,,53864.20,,56729.40,,57521.20,,61031.80,,64485.20,,66468.90,,67878.80,,70869.40,,69586.50,,68236.70,,69660.10,,71560.90,,74439.00,,78914.90,,80361.80,,83172.40,,83432.50,,72730.20,,66724.10,,68692.30,,70576.60,,73684.30,,79340.90,,81511.90,,81035.30,,83616.40,,87372.60,,89258.00,,91245.60,,92690.50,,99244.00,,98859.10,,99775.50,,101202.80,,102149.30,,100133.40,,98623.40,,95562.90,,94117.80,,96698.40,,95840.00,,91950.10,,89263.20,,92278.30,,86645.60,,82328.20,,80313.20,,83220.50,,84117.80,,88515.50,,91770.50,,88611.60,,89611.80,,88321.80,,90011.60,,93071.50,,95975.00,,95118.40,,92742.90,,92408.60,,90740.40,,90395.00,,86060.10,,73743.80,,80122.90,,81986.50,,92320.50,,98213.30,,102000.90,,119256.10,,136533.20,,137241.00,,148024.90,,127372.50,,119046.20,,106212.00,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,21421.10,,21754.10,,22238.10,,22753.60,,22788.10,,24047.60,,25755.70,,28525.70,,29548.00,,29093.10,,29197.20,,29614.50,,31051.10,,31542.10,,32583.60,,33575.20,,34302.20,,34342.30,,34667.80,,35823.70,,35538.60,,36051.60,,37093.40,,38253.30,,38661.00,,39995.40,,42119.50,,41761.90,,41732.70,,42849.80,,43487.80,,44778.40,,45182.40,,45007.50,,45540.50,,46607.40,,46387.80,,46394.50,,47969.70,,48368.80,,49862.60,,52237.70,,53617.20,,54024.80,,54674.00,,54706.10,,54131.90,,54194.60,,53734.10,,52673.10,,54287.60,,55685.60,,54841.20,,56869.70,,59651.90,,61023.60,,63034.20,,62413.00,,64113.80,,64551.80,,65388.30,,67691.40,,67774.60,,69336.70,,68552.80,,67668.80,,67241.60,,64840.00,,62786.10,,64244.40,,66071.30,,67141.20,,68033.80,,67234.70,,67191.80,,68521.30,,68673.30,,69050.20,,69877.80,,71636.70,,72065.40,,74689.70,,76835.70,,79392.40,,78712.50,,79223.20,,80508.90,,81951.70,,81822.70,,82171.40,,82551.30,,82293.40,,82276.40,,79734.80,,79104.20,,79713.90,,79216.90,,81742.20,,81467.40,,82477.30,,82347.30,,83544.70,,84308.60,,86014.60,,86934.00,,87924.20,,88305.90,,88911.10,,88995.40,,89105.90,,90142.90,,90420.30,,95200.30,,95684.80,,96397.50,,99716.40,,99682.10,,98736.00,,99609.50,,101042.80,,105370.80,,110490.40,,117325.40,,119240.50,,123066.00,,127399.40,,136310.20,,129297.50,,132476.70,,133629.80,,133986.50,,133915.50,,132078.50,,132747.20,,133096.10,,134005.00,,135107.90,,136388.40,,137753.00,,138891.80,,155289.20,,159961.20,,155859.60,,154535.50,,153641.00,,154541.60,,156292.60,,157071.00,,158560.30,,156588.00,,151886.90,,149341.10,,150382.40,,151664.40,,155412.10,,157094.70,,157664.80,,158934.00,,163706.20,,164470.50,,166069.90,,155066.50,,164119.30,,164749.40,,163878.50,,168368.90,,174510.60,,180050.50,,185360.80,,190525.10,,201978.90,,200470.00,,199967.50,,202906.20,
United Kingdom,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,258920.00,,252793.80,,257135.10,,256787.70,,261944.10,,273222.20,,279712.10,,301587.80,,323971.30,,336947.00,,360743.20,,353766.30,,368405.70,,370963.20,,370087.40,,365688.60,,375618.50,,390062.90,,397358.50,,416369.10,,440633.40,,448128.10,,449684.10,,460050.60,,440891.60,,464057.50,,461506.30,,464659.40,,474044.70,,468518.60,,470235.90,,476392.40,,458580.40,,442622.80,,452971.20,,461580.10,,474939.30,,493273.30,,492131.30,,481588.90,,487191.80,,511352.00,,511705.50,,527103.10,,526949.40,,532743.00,,543666.20,,554300.70,,564588.00,,564784.90,,572728.30,,557520.30,,529324.40,,503134.20,,499582.40,,467741.70,,423029.80,,438786.80,,447190.80,,429558.00,,444882.80,,471131.80,,484305.90,,472528.60,,485140.40,,466455.60,,472725.60,,489082.80,,505041.50,,523095.60,,546566.80,,537530.30,,512313.30,,517544.90,,525717.10,,541019.80,,555148.80,,569087.20,,590792.20,,596643.10,,637427.40,,667005.10,,671517.40,,669149.50,,635759.40,,631911.10,,589143.60,,583552.70,,595385.40,,596842.50,,576395.40,,591943.10,,597562.70,,608297.60,,604331.20,,610917.50,,628992.20,,630981.90,,618880.60,,649860.60,,642870.40,,536776.70,,596839.90,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Bosnia and Herzegovina,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,495.40,,533.70,,546.60,,578.70,,619.30,,641.50,,691.10,,705.70,,719.20,,811.00,,768.80,,798.00,,732.50,,743.20,,764.60,,756.00,,788.20,,773.10,,765.90,,809.80,,804.60,,818.00,,823.40,,812.00,,788.70,,798.00,,799.20,,801.90,,826.60,,835.50,,846.80,,849.40,,857.50,,853.30,,866.90,,880.70,,891.10,,908.90,,917.50,,931.60,,954.50,,971.00,,993.30,,1021.30,,1036.30,,1059.00,,1084.30,,1102.50,,1131.80,,1157.60,,1166.20,,1182.20,,1201.30,,1220.50,,1247.80,,1240.80,,1239.50,,955.20,,934.00,,1128.90,,1174.10,,1200.40,,1262.50,,1316.40,,1386.00,,1459.90,,1500.00,,1571.20,,1637.90,p,1712.60,p
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,979.50,,1042.00,,1044.10,,1025.60,,1066.40,,1026.40,,1005.70,,1044.90,,1058.50,,1037.00,,1060.60,,1079.00,,1103.30,,1091.40,,1090.70,,1094.50,,1085.90,,1080.50,,1131.10,,1257.60,,1152.30,,1246.10,,1271.60,,1340.70,,1323.00,,1386.90,,1374.60,,1381.10,,1458.50,,1486.80,,1557.90,,1575.40,,1629.70,,1647.40,,1705.50,,1773.10,,1672.60,,1683.40,,1682.50,,1732.20,,1771.30,,1757.40,,1813.10,,1772.40,,1855.00,,1897.60,,1877.30,,1913.20,,1860.80,,1864.50,,1946.20,,1916.50,,1940.90,,2053.90,,2071.20,,2084.20,,2126.70,,2162.60,,2128.70,,2155.10,,2249.00,,2247.50,,2279.00,,2300.20,,2362.50,,2375.10,,2450.60,,2466.10,,2497.20,,2460.10,,2543.10,,2539.00,,2632.60,,2665.10,,2682.50,,2755.30,,2758.60,,2834.10,,2857.80,,2804.70,,2834.40,,2361.20,,2786.50,,2858.50,,2881.40,p,2896.00,p,2925.30,p,2967.80,p,2995.60,e,3128.40,e,3269.40,e,3457.90,e,3494.60,e,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,6978.60,,7579.00,,7977.30,,5035.40,,3890.60,,4483.60,,4947.80,,5175.70,,5264.80,,5654.20,,6162.40,,6241.70,,6806.50,,4138.20,,4238.80,,4401.70,,4695.00,,3878.40,,4901.90,,5673.50,,7021.40,,8330.50,,9736.00,,5253.80,,3115.30,,3499.80,,3830.10,,4067.20,,4172.90,,4379.00,,4697.40,,4855.00,,4858.50,,4974.40,,5026.90,,5006.30,,5076.60,,5156.30,,5276.10,,5388.70,,5261.80,,5443.50,,5660.40,,5808.00,,5836.80,,6157.70,,6648.50,,7221.70,,7482.90,,7586.20,,7927.30,,8488.10,,8530.90,,8969.70,,9487.10,,8739.50,,8007.50,,8089.30,,8245.80,,8186.60,,7842.30,,7846.00,,7900.70,,7962.40,,8547.20,,9038.70,,8865.30,,8955.00,,8427.80,,8304.70,,8229.60,,8688.90,,9100.80,,9083.00,,9141.20,,9146.70,,8980.00,,8930.50,,8808.00,,8764.30,,8700.40,,8955.10,,8987.50,,9090.80,,9048.90,,9135.60,,9217.30,,9360.70,,9427.60,,9588.80,,9982.20,,10224.00,,10539.10,,10651.20,,10808.30,,10864.70,,11059.00,,11293.00,,11646.60,,11935.40,,12057.70,,10885.40,,11794.00,,12090.90,,12598.90,,13013.60,,13546.20,,14074.00,,14104.20,,14885.20,,15313.50,,15955.30,,16299.50,,16715.20,
Türkiye,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,63989.30,,60832.90,,61877.60,,59546.20,,57841.90,,59980.20,,60227.20,,61742.70,,68470.10,,72696.50,,76169.90,,80564.20,,68649.90,,57033.70,,52655.50,,51637.30,,66448.10,,66181.10,,57992.40,,63096.70,,61883.40,,66914.20,,76794.90,,73638.70,,81348.60,,80569.90,,82406.00,,83705.60,,92785.80,,96890.00,,105102.00,,111617.50,,114630.00,,107000.30,,106483.40,,112248.90,,116139.70,,120368.80,,126338.40,,134700.50,,136831.50,,128829.80,,138438.60,,123148.30,,110391.70,,115473.10,,118892.10,,120459.30,,131311.50,,146164.30,,151680.60,,156347.80,,153067.00,,152292.40,,146059.00,,150338.80,,159570.60,,168624.70,,177301.60,,178376.70,,181907.90,,188439.70,,179119.50,,172216.30,,164765.00,,172218.10,,181811.70,,188955.60,,200372.50,,195808.50,,188351.40,,194225.00,,193667.50,,197899.90,,191882.30,,201816.50,,184438.10,,192048.10,,193291.80,,190388.30,,188123.60,,175587.40,,150242.90,,154461.40,,167451.80,,160442.10,,173939.30,,177401.60,,175452.90,,142309.00,,158997.60,,153567.80,,173400.90,,162498.00,,184342.40,,171889.40,,178524.90,,210759.30,,226206.50,,240632.10,,257108.10,,248777.90,
