,country,date,year,month,infl
282,belgium,2003-07-01,2003,7,-0.011000000000000001
283,belgium,2003-08-01,2003,8,0.017
284,belgium,2003-09-01,2003,9,0.001
285,belgium,2003-10-01,2003,10,-0.003
286,belgium,2003-11-01,2003,11,0.002
287,belgium,2003-12-01,2003,12,-0.001
288,belgium,2004-01-01,2004,1,-0.013000000000000001
289,belgium,2004-02-01,2004,2,0.019
290,belgium,2004-03-01,2004,3,0.001
291,belgium,2004-04-01,2004,4,0.006
292,belgium,2004-05-01,2004,5,0.003
293,belgium,2004-06-01,2004,6,-0.001
294,belgium,2004-07-01,2004,7,-0.01
295,belgium,2004-08-01,2004,8,0.017
296,belgium,2004-09-01,2004,9,-0.001
297,belgium,2004-10-01,2004,10,0.005
298,belgium,2004-11-01,2004,11,-0.002
299,belgium,2004-12-01,2004,12,-0.003
300,belgium,2005-01-01,2005,1,-0.013000000000000001
301,belgium,2005-02-01,2005,2,0.021
302,belgium,2005-03-01,2005,3,0.006
303,belgium,2005-04-01,2005,4,0.002
304,belgium,2005-05-01,2005,5,0.001
305,belgium,2005-06-01,2005,6,0.003
306,belgium,2005-07-01,2005,7,-0.01
307,belgium,2005-08-01,2005,8,0.018000000000000002
308,belgium,2005-09-01,2005,9,0.0
309,belgium,2005-10-01,2005,10,-0.001
310,belgium,2005-11-01,2005,11,0.0
311,belgium,2005-12-01,2005,12,0.0
312,belgium,2006-01-01,2006,1,-0.013000000000000001
313,belgium,2006-02-01,2006,2,0.023
314,belgium,2006-03-01,2006,3,-0.001
315,belgium,2006-04-01,2006,4,0.006
316,belgium,2006-05-01,2006,5,0.004
317,belgium,2006-06-01,2006,6,0.001
318,belgium,2006-07-01,2006,7,-0.011000000000000001
319,belgium,2006-08-01,2006,8,0.017
320,belgium,2006-09-01,2006,9,-0.005
321,belgium,2006-10-01,2006,10,-0.003
322,belgium,2006-11-01,2006,11,0.002
323,belgium,2006-12-01,2006,12,0.001
324,belgium,2007-01-01,2007,1,-0.017
325,belgium,2007-02-01,2007,2,0.024
326,belgium,2007-03-01,2007,3,0.0
327,belgium,2007-04-01,2007,4,0.005
328,belgium,2007-05-01,2007,5,-0.001
329,belgium,2007-06-01,2007,6,0.001
330,belgium,2007-07-01,2007,7,-0.011000000000000001
331,belgium,2007-08-01,2007,8,0.016
332,belgium,2007-09-01,2007,9,-0.002
333,belgium,2007-10-01,2007,10,0.005
334,belgium,2007-11-01,2007,11,0.009000000000000001
335,belgium,2007-12-01,2007,12,0.004
336,belgium,2008-01-01,2008,1,-0.013000000000000001
337,belgium,2008-02-01,2008,2,0.025
338,belgium,2008-03-01,2008,3,0.006999999999999999
339,belgium,2008-04-01,2008,4,0.002
340,belgium,2008-05-01,2008,5,0.009000000000000001
341,belgium,2008-06-01,2008,6,0.006999999999999999
342,belgium,2008-07-01,2008,7,-0.009000000000000001
343,belgium,2008-08-01,2008,8,0.011000000000000001
344,belgium,2008-09-01,2008,9,-0.001
345,belgium,2008-10-01,2008,10,-0.002
346,belgium,2008-11-01,2008,11,-0.006999999999999999
347,belgium,2008-12-01,2008,12,-0.001
348,belgium,2009-01-01,2009,1,-0.019
349,belgium,2009-02-01,2009,2,0.023
350,belgium,2009-03-01,2009,3,-0.006
351,belgium,2009-04-01,2009,4,0.003
352,belgium,2009-05-01,2009,5,-0.001
353,belgium,2009-06-01,2009,6,-0.001
354,belgium,2009-07-01,2009,7,-0.016
355,belgium,2009-08-01,2009,8,0.021
356,belgium,2009-09-01,2009,9,-0.004
357,belgium,2009-10-01,2009,10,0.0
358,belgium,2009-11-01,2009,11,0.002
359,belgium,2009-12-01,2009,12,0.002
360,belgium,2010-01-01,2010,1,-0.013999999999999999
361,belgium,2010-02-01,2010,2,0.023
362,belgium,2010-03-01,2010,3,0.005
363,belgium,2010-04-01,2010,4,0.004
364,belgium,2010-05-01,2010,5,0.003
365,belgium,2010-06-01,2010,6,0.0
366,belgium,2010-07-01,2010,7,-0.018000000000000002
367,belgium,2010-08-01,2010,8,0.02
368,belgium,2010-09-01,2010,9,0.001
369,belgium,2010-10-01,2010,10,0.001
370,belgium,2010-11-01,2010,11,0.001
371,belgium,2010-12-01,2010,12,0.006
372,belgium,2011-01-01,2011,1,-0.013000000000000001
373,belgium,2011-02-01,2011,2,0.024
374,belgium,2011-03-01,2011,3,0.003
375,belgium,2011-04-01,2011,4,0.003
376,belgium,2011-05-01,2011,5,0.002
377,belgium,2011-06-01,2011,6,0.003
378,belgium,2011-07-01,2011,7,-0.011000000000000001
379,belgium,2011-08-01,2011,8,0.015
380,belgium,2011-09-01,2011,9,-0.001
381,belgium,2011-10-01,2011,10,0.001
382,belgium,2011-11-01,2011,11,0.004
383,belgium,2011-12-01,2011,12,0.003
384,belgium,2012-01-01,2012,1,-0.012
385,belgium,2012-02-01,2012,2,0.024
386,belgium,2012-03-01,2012,3,0.001
387,belgium,2012-04-01,2012,4,0.001
388,belgium,2012-05-01,2012,5,-0.001
389,belgium,2012-06-01,2012,6,-0.001
390,belgium,2012-07-01,2012,7,-0.013000000000000001
391,belgium,2012-08-01,2012,8,0.021
392,belgium,2012-09-01,2012,9,-0.001
393,belgium,2012-10-01,2012,10,0.002
394,belgium,2012-11-01,2012,11,-0.001
395,belgium,2012-12-01,2012,12,0.002
396,belgium,2013-01-01,2013,1,-0.018000000000000002
397,belgium,2013-02-01,2013,2,0.025
398,belgium,2013-03-01,2013,3,0.0
399,belgium,2013-04-01,2013,4,-0.002
400,belgium,2013-05-01,2013,5,-0.001
401,belgium,2013-06-01,2013,6,0.003
402,belgium,2013-07-01,2013,7,-0.013000000000000001
403,belgium,2013-08-01,2013,8,0.016
404,belgium,2013-09-01,2013,9,-0.002
405,belgium,2013-10-01,2013,10,-0.001
406,belgium,2013-11-01,2013,11,0.001
407,belgium,2013-12-01,2013,12,0.004
408,belgium,2014-01-01,2014,1,-0.019
409,belgium,2014-02-01,2014,2,0.022000000000000002
410,belgium,2014-03-01,2014,3,0.0
411,belgium,2014-04-01,2014,4,-0.002
