country,date,year,month,co2,gdp,ind_prod,infl,pop,brent,co2_cap,gdp_cap
bulgaria,2019-06-01,2019,6,-0.020559760765639368,0.027901026867983347,-0.07,-99999.0,-0.0004615466089141762,-0.6202132957536013,-0.0023675202044435295,0.02836257347689397
bulgaria,2019-07-01,2019,7,-0.025198819239836467,0.0290168295232327,-0.014,-99999.0,-0.0007819785736415952,-0.57609191214654,0.0009120600676126855,0.02979880809686719
bulgaria,2019-08-01,2019,8,-0.02415628811452919,0.024067999483115443,-0.021,-99999.0,-0.0007404874105176873,-0.5443275769440414,0.001372308284425472,0.024808486893634907
bulgaria,2019-09-01,2019,9,-0.020974417353190944,0.019184858985511255,0.010000000000000002,-99999.0,-0.0006989203035061564,-0.5676496066146886,0.0024667606916475293,0.019883779289020964
bulgaria,2019-10-01,2019,10,-0.019562781325678458,0.014366063388816741,0.013000000000000001,-99999.0,-0.0006572770440058662,-0.6481805566607042,0.0019706845438491882,0.015023340432820831
croatia,2002-01-01,2002,1,0.16435531060861308,0.03928828358571934,-0.067,-0.021000000000000005,0.05141816379072495,-0.2813725979202779,0.23820911044457027,-0.012129880205003829
croatia,2002-02-01,2002,2,-0.002804958718080286,0.03578975866544809,-0.009999999999999995,-0.02600000000000001,0.049524355231495676,-0.2944204932958714,-0.04089208479183526,-0.013734596566047585
croatia,2002-03-01,2002,3,0.1022427132149879,0.032314913982951055,-0.055,-0.011999999999999997,0.04762964374138612,0.08195111521687704,0.14278273918553452,-0.015314729758433288
croatia,2002-04-01,2002,4,0.048034792207353405,0.028863514537651014,-0.07,-0.03499999999999999,0.04573402638589741,-0.11720448282319795,-0.1576998284402329,-0.016870511848246394
croatia,2002-05-01,2002,5,0.03467460275536638,0.038773107859675804,-0.04399999999999999,-0.041999999999999996,0.04385268465518877,-0.13077605332373876,-0.07977756026426341,-0.005079576795509411
croatia,2002-06-01,2002,6,0.030442993596672352,0.04857946123476253,-0.053,-0.028,0.0419704353707413,-0.07777591879460699,-0.07333865029421016,0.006609025864019458
croatia,2002-07-01,2002,7,0.0382270957659081,0.05828434113833225,0.049999999999999996,-0.006999999999999999,0.04008727564067627,0.19794048909347106,-0.06173766115397239,0.018197065497659537
croatia,2002-08-01,2002,8,0.03492400624963565,0.05319781206180352,-0.02500000000000001,-0.024,0.033569092431052994,0.19920611734915594,-0.053970420415782705,0.01962871963074697
croatia,2002-09-01,2002,9,0.04853250412438115,0.04816138551416671,0.03299999999999999,-0.015999999999999997,0.027008143602527568,0.36038356422840057,-0.03491144591699058,0.021153241911639142
croatia,2002-10-01,2002,10,0.1712306633980667,0.043174288554695295,0.037,-0.004,0.020403864278851103,0.7035871330212107,0.1445946513723344,0.02277042427584597
croatia,2002-11-01,2002,11,-0.1506180600262006,0.02734251899988749,0.056,0.001999999999999995,0.012767032428659064,0.8071847165421517,-0.4178724385395274,0.014575486571224872
croatia,2002-12-01,2002,12,-0.08452590988702013,0.011761217656381717,0.005999999999999998,0.003999999999999997,0.005074519938254696,0.7307383924579192,-0.3329628239690159,0.006686697718132351
croatia,2003-01-01,2003,1,0.00445836100076491,-0.0035760036109024895,-0.006,-0.010000000000000002,-0.0026745140352666397,0.7505432343718614,-0.15722243557257798,-0.0009014895756376262
croatia,2003-02-01,2003,2,0.22792585841376578,-0.005573374709360479,0.029000000000000005,-0.0029999999999999957,-0.002270958156699976,0.784429109937284,0.2330017752885407,-0.003302416552664056
croatia,2003-03-01,2003,3,0.09465777231773842,-0.0075443766645975074,0.052,-0.0050000000000000044,-0.0018675589445678042,0.28904977422583134,-0.005717381952681677,-0.0056768177200314796
croatia,2003-04-01,2003,4,0.029095668258104723,-0.009489529235342076,0.04900000000000001,-0.0010000000000000009,-0.001464316274994104,-0.03150606853161442,-0.017474807674251025,-0.008025212960351524
croatia,2003-05-01,2003,5,0.06200201009168538,-0.019752144954338746,0.008999999999999994,0.0030000000000000027,-0.00105349623940576,0.13035501239313518,0.028380903575727423,-0.018698648714932986
croatia,2003-06-01,2003,6,0.07402146913696939,-0.029889385268326407,0.10099999999999999,0.002999999999999999,-0.000642826314704692,0.28369545346039615,0.04422130185500528,-0.029246558953618162
croatia,2003-07-01,2003,7,0.06357150656360488,-0.03990369741655542,-0.03799999999999999,0.0029999999999999957,-0.0002323063845679485,0.05168749024076469,0.02557671718226384,-0.0396713910319928
croatia,2003-08-01,2003,8,0.07764152606086938,-0.038538757083205866,0.007000000000000006,0.013000000000000001,-0.00022456455896779914,0.0776581538939003,0.04294208437019975,-0.03831419252423807
