series,log,diff_level,diff_order,regression,stationary,p_value
co2_cap,1,0,1,c,0.05263157894736842,0.6452968104078965
co2_cap,1,0,1,ct,0.1111111111111111,0.2810396251864326
co2_cap,1,0,1,ctt,0.125,0.4315974376497047
co2_cap,1,0,1,n,0.07142857142857142,0.6144686604424136
co2_cap,1,0,2,c,0.05263157894736842,0.6452968104078965
co2_cap,1,0,2,ct,0.1111111111111111,0.2810396251864326
co2_cap,1,0,2,ctt,0.125,0.4315974376497047
co2_cap,1,0,2,n,0.07142857142857142,0.6144686604424136
co2_cap,1,1,1,c,1.0,0.0018687234876205662
co2_cap,1,1,2,c,1.0,2.7702394239504777e-16
co2_cap,1,2,1,c,1.0,0.0013421166155432116
co2_cap,1,2,2,c,1.0,2.084202289737047e-09
co2_cap,1,12,1,c,0.8947368421052632,0.016421623919168585
co2_cap,1,12,1,ct,0.0,0.24111021858172388
co2_cap,1,12,1,ctt,0.5,0.2127498108313959
co2_cap,1,12,1,n,0.0,0.09016347666465996
co2_cap,1,12,2,c,1.0,0.0008193415373111924
co2_cap,1,24,1,c,0.7894736842105263,0.041555922869045074
co2_cap,1,24,1,ct,0.0,0.37292591064934566
co2_cap,1,24,1,ctt,0.5,0.18998176221458746
co2_cap,1,24,1,n,0.5,0.03700617718392765
co2_cap,1,24,2,c,0.8947368421052632,0.02319647201203125
co2_cap,1,24,2,ct,0.0,0.42670028991515985
co2_cap,1,24,2,ctt,0.0,0.6501401848451512
co2_cap,1,24,2,n,1.0,0.02572234919902217
gdp,0,0,1,c,0.0,0.9380281143296431
gdp,0,0,1,ct,0.05263157894736842,0.7283075361992339
gdp,0,0,1,ctt,0.05555555555555555,0.7263407535483528
gdp,0,0,1,n,0.0,0.9882781978247709
gdp,0,0,2,c,0.0,0.9380281143296431
gdp,0,0,2,ct,0.05263157894736842,0.7283075361992339
gdp,0,0,2,ctt,0.05555555555555555,0.7263407535483528
gdp,0,0,2,n,0.0,0.9882781978247709
gdp,0,1,1,c,0.5263157894736842,0.10370577065322066
gdp,0,1,1,ct,0.0,0.2405177002264717
gdp,0,1,1,ctt,0.0,0.2642184690313868
gdp,0,1,1,n,0.1111111111111111,0.3401842148945589
gdp,0,1,2,c,1.0,2.2445685844396782e-07
gdp,0,2,1,c,0.3684210526315789,0.17191172444639097
gdp,0,2,1,ct,0.0,0.3302423068167493
gdp,0,2,1,ctt,0.08333333333333333,0.2928182361685032
gdp,0,2,1,n,0.0,0.37761025858903463
gdp,0,2,2,c,1.0,6.512397939172429e-06
gdp,0,12,1,c,0.21052631578947367,0.3305185325329987
gdp,0,12,1,ct,0.0,0.47686603495644453
gdp,0,12,1,ctt,0.0,0.40937051212602216
gdp,0,12,1,n,0.06666666666666667,0.5209189601006945
gdp,0,12,2,c,0.8947368421052632,0.015270746482563255
gdp,0,12,2,ct,0.0,0.2817791657662988
gdp,0,12,2,ctt,0.5,0.19924175907048977
gdp,0,12,2,n,1.0,0.012637147790836504
gdp,0,24,1,c,0.2631578947368421,0.23352116894049993
gdp,0,24,1,ct,0.0,0.3541786327907751
gdp,0,24,1,ctt,0.07142857142857142,0.2465691315488189
gdp,0,24,1,n,0.07692307692307693,0.47283513414234124
gdp,0,24,2,c,0.8947368421052632,0.041668469018429716
gdp,0,24,2,ct,0.5,0.3738313150572893
gdp,0,24,2,ctt,0.0,0.21263010198619664
gdp,0,24,2,n,0.0,0.16481447629027596
gdp,1,0,1,c,0.0,0.7960475795173604
gdp,1,0,1,ct,0.05263157894736842,0.44345246385991055
gdp,1,0,1,ctt,0.0,0.6978506666970843
gdp,1,0,1,n,0.0,0.9912398034361354
gdp,1,0,2,c,0.0,0.7960475795173604
gdp,1,0,2,ct,0.05263157894736842,0.44345246385991055
gdp,1,0,2,ctt,0.0,0.6978506666970843
gdp,1,0,2,n,0.0,0.9912398034361354
gdp,1,1,1,c,0.7368421052631579,0.048487125765383
gdp,1,1,1,ct,0.0,0.2703257503692065
gdp,1,1,1,ctt,0.0,0.3197617564942155
gdp,1,1,1,n,0.2,0.10955793864305549
gdp,1,1,2,c,1.0,1.6577538953993355e-07
gdp,1,2,1,c,0.5789473684210527,0.06909469020531574
gdp,1,2,1,ct,0.0,0.34685595527998936
gdp,1,2,1,ctt,0.0,0.38234064302008347
gdp,1,2,1,n,0.125,0.1693790499889996
gdp,1,2,2,c,1.0,9.103617186926175e-06
gdp,1,12,1,c,0.3684210526315789,0.13604736924574373
gdp,1,12,1,ct,0.0,0.48749780023667316
gdp,1,12,1,ctt,0.08333333333333333,0.459093179999859
gdp,1,12,1,n,0.09090909090909091,0.27923975910753585
gdp,1,12,2,c,0.8947368421052632,0.015720178471538036
gdp,1,12,2,ct,0.0,0.2975662614398682
gdp,1,12,2,ctt,0.0,0.38881715991373994
gdp,1,12,2,n,1.0,0.010520574787361032
gdp,1,24,1,c,0.5263157894736842,0.0899475816381302
gdp,1,24,1,ct,0.0,0.33724979457942683
gdp,1,24,1,ctt,0.0,0.30023896558583313
gdp,1,24,1,n,0.1111111111111111,0.23641087180892628
gdp,1,24,2,c,0.9473684210526315,0.03073720928721763
gdp,1,24,2,ct,0.0,0.6372383193064096
gdp,1,24,2,ctt,0.0,0.8087508960261435
gdp,1,24,2,n,0.0,0.0893741785858439
gdp_cap,0,0,1,c,0.0,0.9399692069762435
gdp_cap,0,0,1,ct,0.0,0.7353079901876256
gdp_cap,0,0,1,ctt,0.05263157894736842,0.6730401410710619
gdp_cap,0,0,1,n,0.0,0.9899086182055297
gdp_cap,0,0,2,c,0.0,0.9399692069762435
gdp_cap,0,0,2,ct,0.0,0.7353079901876256
gdp_cap,0,0,2,ctt,0.05263157894736842,0.6730401410710619
gdp_cap,0,0,2,n,0.0,0.9899086182055297
gdp_cap,0,1,1,c,0.5263157894736842,0.09481859310300031
gdp_cap,0,1,1,ct,0.0,0.24054953020699887
gdp_cap,0,1,1,ctt,0.0,0.23216927371284296
gdp_cap,0,1,1,n,0.1111111111111111,0.30410798318827686
gdp_cap,0,1,2,c,1.0,1.79120495877641e-07
gdp_cap,0,2,1,c,0.3684210526315789,0.16589931106803252
gdp_cap,0,2,1,ct,0.0,0.31573229057865504
gdp_cap,0,2,1,ctt,0.16666666666666666,0.2836718522209322
gdp_cap,0,2,1,n,0.0,0.3499963376791743
gdp_cap,0,2,2,c,1.0,6.074165835225519e-06
gdp_cap,0,12,1,c,0.2631578947368421,0.3122507094746455
gdp_cap,0,12,1,ct,0.0,0.4988956295263942
gdp_cap,0,12,1,ctt,0.0,0.4145048341566701
gdp_cap,0,12,1,n,0.07142857142857142,0.49603130754246727
gdp_cap,0,12,2,c,0.9473684210526315,0.010267036278936293
gdp_cap,0,12,2,ct,0.0,0.31285924514950314
gdp_cap,0,12,2,ctt,0.0,0.35628797729850403
gdp_cap,0,12,2,n,1.0,0.01144610871256718
gdp_cap,0,24,1,c,0.3684210526315789,0.22169953531736494
gdp_cap,0,24,1,ct,0.08333333333333333,0.38826319970787293
gdp_cap,0,24,1,ctt,0.0,0.28819213139626587
gdp_cap,0,24,1,n,0.09090909090909091,0.45626674531278705
gdp_cap,0,24,2,c,0.8947368421052632,0.036077456056837445
gdp_cap,0,24,2,ct,0.5,0.30694143922272954
gdp_cap,0,24,2,ctt,0.0,0.09276185457609232
gdp_cap,0,24,2,n,0.0,0.13889293367975086
gdp_cap,1,0,1,c,0.0,0.8073606062107024
gdp_cap,1,0,1,ct,0.05263157894736842,0.457066055835144
gdp_cap,1,0,1,ctt,0.0,0.6681922850065196
gdp_cap,1,0,1,n,0.0,0.9896837449519675
gdp_cap,1,0,2,c,0.0,0.8073606062107024
gdp_cap,1,0,2,ct,0.05263157894736842,0.457066055835144
gdp_cap,1,0,2,ctt,0.0,0.6681922850065196
gdp_cap,1,0,2,n,0.0,0.9896837449519675
gdp_cap,1,1,1,c,0.6842105263157895,0.042849038491741195
gdp_cap,1,1,1,ct,0.0,0.2583001224306038
gdp_cap,1,1,1,ctt,0.0,0.31318875707096255
gdp_cap,1,1,1,n,0.3333333333333333,0.10708412977180974
gdp_cap,1,1,2,c,1.0,7.604759082057284e-08
gdp_cap,1,2,1,c,0.5789473684210527,0.06326536647506675
gdp_cap,1,2,1,ct,0.0,0.329678832876161
gdp_cap,1,2,1,ctt,0.0,0.3754625252247903
gdp_cap,1,2,1,n,0.125,0.1566945731777925
gdp_cap,1,2,2,c,1.0,7.599717333462858e-06
gdp_cap,1,12,1,c,0.42105263157894735,0.1360719774658977
gdp_cap,1,12,1,ct,0.0,0.4554182954177286
gdp_cap,1,12,1,ctt,0.0,0.4769650419245531
gdp_cap,1,12,1,n,0.09090909090909091,0.26215471302966115
gdp_cap,1,12,2,c,0.9473684210526315,0.011048024262329162
gdp_cap,1,12,2,ct,0.0,0.3384491502060992
gdp_cap,1,12,2,ctt,0.0,0.4182693218721254
gdp_cap,1,12,2,n,1.0,0.012439580498645738
gdp_cap,1,24,1,c,0.5263157894736842,0.08388724321349157
gdp_cap,1,24,1,ct,0.0,0.30887701177174054
gdp_cap,1,24,1,ctt,0.0,0.27150104196268615
gdp_cap,1,24,1,n,0.1111111111111111,0.23361937888099238
gdp_cap,1,24,2,c,0.9473684210526315,0.02324462497222223
gdp_cap,1,24,2,ct,0.0,0.46405581232564197
gdp_cap,1,24,2,ctt,0.0,0.20999318434331055
gdp_cap,1,24,2,n,0.0,0.0503829113828062
pop,0,0,1,c,0.10526315789473684,0.5834751727673356
pop,0,0,1,ct,0.0,0.5328688619710422
pop,0,0,1,ctt,0.058823529411764705,0.43894450026426135
pop,0,0,1,n,0.125,0.644625948544411
pop,0,0,2,c,0.10526315789473684,0.5834751727673356
pop,0,0,2,ct,0.0,0.5328688619710422
pop,0,0,2,ctt,0.058823529411764705,0.43894450026426135
pop,0,0,2,n,0.125,0.644625948544411
pop,0,1,1,c,0.2631578947368421,0.2574768962007569
pop,0,1,1,ct,0.07142857142857142,0.504538170385038
pop,0,1,1,ctt,0.07692307692307693,0.5757573300387808
pop,0,1,1,n,0.08333333333333333,0.2900371403662901
pop,0,1,2,c,0.8947368421052632,0.0390468728954528
pop,0,1,2,ct,0.0,0.48927851732933775
pop,0,1,2,ctt,0.0,0.732962366806172
pop,0,1,2,n,0.5,0.08323668594573998
pop,0,2,1,c,0.2631578947368421,0.2893442120689327
pop,0,2,1,ct,0.07142857142857142,0.5546601046674524
pop,0,2,1,ctt,0.0,0.6199071368805718
pop,0,2,1,n,0.0,0.30020365777825214
pop,0,2,2,c,0.9473684210526315,0.028220148150421665
pop,0,2,2,ct,0.0,0.40862616727144513
pop,0,2,2,ctt,0.0,0.6053106969535266
pop,0,2,2,n,0.0,0.0647473553245477
pop,0,12,1,c,0.21052631578947367,0.28582263190362983
pop,0,12,1,ct,0.0,0.4300145703237465
pop,0,12,1,ctt,0.13333333333333333,0.442433159470767
pop,0,12,1,n,0.07692307692307693,0.26347248187262007
pop,0,12,2,c,0.5789473684210527,0.0653973327597869
pop,0,12,2,ct,0.0,0.29868452913645016
pop,0,12,2,ctt,0.125,0.27386689660455843
pop,0,12,2,n,1.0,0.01941824038522439
pop,0,24,1,c,0.15789473684210525,0.23915770442496284
pop,0,24,1,ct,0.0625,0.306309779170232
pop,0,24,1,ctt,0.2,0.37658258349519014
pop,0,24,1,n,0.08333333333333333,0.19679320310809967
pop,0,24,2,c,0.6842105263157895,0.04253005827393375
pop,0,24,2,ct,0.16666666666666666,0.20884916822662558
pop,0,24,2,ctt,0.6,0.08827724840910396
pop,0,24,2,n,1.0,0.019099549522640237
pop,1,0,1,c,0.10526315789473684,0.5729114819808986
pop,1,0,1,ct,0.0,0.5248959695608896
pop,1,0,1,ctt,0.058823529411764705,0.44633633493375746
pop,1,0,1,n,0.125,0.6491178920547579
pop,1,0,2,c,0.10526315789473684,0.5729114819808986
pop,1,0,2,ct,0.0,0.5248959695608896
pop,1,0,2,ctt,0.058823529411764705,0.44633633493375746
pop,1,0,2,n,0.125,0.6491178920547579
pop,1,1,1,c,0.3157894736842105,0.25983657953126665
pop,1,1,1,ct,0.07692307692307693,0.5362957583601856
pop,1,1,1,ctt,0.0,0.6065833412789701
pop,1,1,1,n,0.08333333333333333,0.2711567169801916
pop,1,1,2,c,0.8947368421052632,0.037574550549712905
pop,1,1,2,ct,0.0,0.48576129733214335
pop,1,1,2,ctt,0.0,0.7256538940864834
pop,1,1,2,n,0.5,0.08009519333527347
pop,1,2,1,c,0.2631578947368421,0.28961903885708756
pop,1,2,1,ct,0.07142857142857142,0.555912999064552
pop,1,2,1,ctt,0.0,0.6089272125901684
pop,1,2,1,n,0.0,0.2889939499426219
pop,1,2,2,c,0.9473684210526315,0.027698677364880117
pop,1,2,2,ct,0.0,0.41671755498705065
pop,1,2,2,ctt,0.0,0.6009246032742136
pop,1,2,2,n,0.0,0.06192450394065852
pop,1,12,1,c,0.21052631578947367,0.28062692390614713
pop,1,12,1,ct,0.0,0.43403872870845056
pop,1,12,1,ctt,0.06666666666666667,0.4423514019887605
pop,1,12,1,n,0.07142857142857142,0.24802935522770447
pop,1,12,2,c,0.5789473684210527,0.06561873781486119
pop,1,12,2,ct,0.0,0.29626057186516125
pop,1,12,2,ctt,0.125,0.27281694952008784
pop,1,12,2,n,1.0,0.019315088784294006
pop,1,24,1,c,0.21052631578947367,0.2348260629475568
pop,1,24,1,ct,0.06666666666666667,0.3301116584861109
pop,1,24,1,ctt,0.14285714285714285,0.381804719136591
pop,1,24,1,n,0.08333333333333333,0.1873565468782019
pop,1,24,2,c,0.6842105263157895,0.043299608904498986
pop,1,24,2,ct,0.16666666666666666,0.203020955179694
pop,1,24,2,ctt,0.6,0.08906961859074868
pop,1,24,2,n,1.0,0.019329775302367402
