date,co2,target_dummy,post_dummy,target_post_dummy
2011-12-01,8563631707.0,0,0,0
2017-01-01,8471206416.999999,0,1,0
2017-02-01,6710375190.0,0,1,0
2017-03-01,6223479693.0,0,1,0
2017-04-01,5505958569.0,0,1,0
2017-05-01,5534124950.0,0,1,0
2017-06-01,5630631717.0,0,1,0
2017-07-01,5858902628.0,0,1,0
2017-08-01,5885176195.0,0,1,0
2017-09-01,5793632836.0,0,1,0
2017-10-01,6008117901.0,0,1,0
2017-11-01,6696683982.0,0,1,0
2017-12-01,6868275829.0,0,1,0
2011-01-01,6943075491.0,0,0,0
2011-02-01,6536467140.0,0,0,0
2011-03-01,5915406081.0,0,0,0
2011-04-01,4666481741.0,0,0,0
2011-05-01,4575434625.0,0,0,0
2011-06-01,4470182662.0,0,0,0
2011-07-01,4530853768.0,0,0,0
2011-08-01,4468045897.0,0,0,0
2011-09-01,4600128456.0,0,0,0
2011-10-01,5043940045.0,0,0,0
2011-11-01,6436438373.0,0,0,0
2011-12-01,6296018785.0,0,0,0
2017-01-01,7969879918.0,0,1,0
2017-02-01,6028522172.0,0,1,0
2017-03-01,5360938089.0,0,1,0
2017-04-01,4973381452.0,0,1,0
2017-05-01,4644520395.0,0,1,0
2017-06-01,4528519977.0,0,1,0
2017-07-01,4578588807.0,0,1,0
2017-08-01,4593636006.0,0,1,0
2017-09-01,4738461504.0,0,1,0
2017-10-01,5143861343.0,0,1,0
2017-11-01,6077696821.0,0,1,0
2017-12-01,6474823224.0,0,1,0
2011-01-01,48906841960.0,0,0,0
2011-02-01,45260781480.0,0,0,0
2011-03-01,45166256780.0,0,0,0
2011-04-01,35810146190.0,0,0,0
2011-05-01,33038554920.000004,0,0,0
2011-06-01,31930070040.0,0,0,0
2011-07-01,33251574900.0,0,0,0
2011-08-01,31578273300.0,0,0,0
2011-09-01,33878772110.0,0,0,0
2011-10-01,36432226490.0,0,0,0
2011-11-01,41520710080.0,0,0,0
2011-12-01,45178199280.0,0,0,0
2017-01-01,48107961140.0,0,1,0
2017-02-01,38330921530.0,0,1,0
2017-03-01,35794976430.0,0,1,0
2017-04-01,32005795610.0,0,1,0
2017-05-01,27111507650.0,0,1,0
2017-06-01,27448006450.0,0,1,0
2017-07-01,28041825230.0,0,1,0
2017-08-01,26663710760.0,0,1,0
2017-09-01,27012904660.0,0,1,0
2017-10-01,30869901400.0,0,1,0
2017-11-01,39462271190.0,0,1,0
2017-12-01,44314809880.0,0,1,0
2011-01-01,1989439751.0,0,0,0
2011-02-01,2056073697.0,0,0,0
2011-03-01,1978724793.0,0,0,0
2011-04-01,1616059851.0,0,0,0
2011-05-01,1373292532.0,0,0,0
2011-06-01,1161722165.0,0,0,0
2011-07-01,1185939733.0,0,0,0
2011-08-01,1179060587.0,0,0,0
2011-09-01,1308151418.0,0,0,0
2011-10-01,1651897061.0,0,0,0
2011-11-01,1746222134.0,0,0,0
2011-12-01,1761913962.0,0,0,0
2017-01-01,1989137107.0,0,1,0
2017-02-01,1914849403.0,0,1,0
2017-03-01,1922571101.0,0,1,0
2017-04-01,1845209143.0,0,1,0
2017-05-01,1585907390.0,0,1,0
2017-06-01,1440192544.0,0,1,0
2017-07-01,1382812723.0,0,1,0
2017-08-01,1386993482.0,0,1,0
2017-09-01,1561742407.0,0,1,0
2017-10-01,1866773578.0,0,1,0
2017-11-01,1907851029.0,0,1,0
2017-12-01,1967823601.0,0,1,0
2011-01-01,19444529840.0,0,0,0
2011-02-01,18105448450.0,0,0,0
2011-03-01,18328922610.0,0,0,0
2011-04-01,14874255630.0,0,0,0
2011-05-01,13907436540.0,0,0,0
2011-06-01,13101713430.0,0,0,0
2011-07-01,13419861290.0,0,0,0
2011-08-01,13140368940.0,0,0,0
2011-09-01,13105820400.0,0,0,0
2011-10-01,15253614140.0,0,0,0
2011-11-01,16987098139.999998,0,0,0
2011-12-01,17232425090.0,0,0,0
2017-01-01,20130541920.0,0,1,0
2017-02-01,17519563110.0,0,1,0
2017-03-01,16637150750.0,0,1,0
2017-04-01,15861851370.0,0,1,0
2017-05-01,13376242910.0,0,1,0
2017-06-01,13304669730.0,0,1,0
2017-07-01,13013769170.0,0,1,0
2017-08-01,12037557220.0,0,1,0
2017-09-01,12866385630.0,0,1,0
2017-10-01,14607522390.0,0,1,0
2017-11-01,17493403230.0,0,1,0
2017-12-01,18267129250.0,0,1,0
2011-01-01,12267399770.0,0,0,0
2011-02-01,11378802880.0,0,0,0
2011-03-01,11285125760.0,0,0,0
2011-04-01,8907308374.0,0,0,0
2011-05-01,7474108358.0,0,0,0
2011-06-01,6595026918.0,0,0,0
2011-07-01,6560966231.0,0,0,0
2011-08-01,6229427536.0,0,0,0
2011-09-01,6491477537.0,0,0,0
2011-10-01,9165581435.0,0,0,0
2011-11-01,10966774510.0,0,0,0
2011-12-01,10720939370.0,0,0,0
2017-01-01,12460927760.0,0,1,0
2017-02-01,10574251500.0,0,1,0
2017-03-01,9451157756.0,0,1,0
2017-04-01,8729294559.0,0,1,0
2017-05-01,6881476065.0,0,1,0
2017-06-01,6140338633.0,0,1,0
2017-07-01,5984638796.0,0,1,0
2017-08-01,5955713135.0,0,1,0
2017-09-01,6579343340.0,0,1,0
2017-10-01,8815656565.0,0,1,0
2017-11-01,9903468118.0,0,1,0
2017-12-01,10405925370.0,0,1,0
2011-01-01,4532231299.0,0,0,0
2011-02-01,4358118240.0,0,0,0
2011-03-01,4262014199.0,0,0,0
2011-04-01,3611496808.0,0,0,0
2011-05-01,3283259426.0,0,0,0
2011-06-01,2943339328.0,0,0,0
2011-07-01,2867712239.0,0,0,0
2011-08-01,2727838029.0,0,0,0
2011-09-01,2841480424.0,0,0,0
2011-10-01,3681536070.0,0,0,0
2011-11-01,4189224914.000001,0,0,0
2011-12-01,4213987404.000001,0,0,0
2017-01-01,4667588154.0,0,1,0
2017-02-01,4194690264.0,0,1,0
2017-03-01,3978052400.0,0,1,0
2017-04-01,3755509805.0,0,1,0
2017-05-01,3282617847.0,0,1,0
2017-06-01,3059412941.0,0,1,0
2017-07-01,2955928950.0,0,1,0
2017-08-01,2842403821.0,0,1,0
2017-09-01,3129892054.0,0,1,0
2017-10-01,3746257191.0,0,1,0
2017-11-01,4036604909.0,0,1,0
2017-12-01,4221981529.0,0,1,0
2011-01-01,32284953200.0,0,0,0
2011-02-01,29763055290.0,0,0,0
2011-03-01,30072427810.0,0,0,0
2011-04-01,25669685660.0,0,0,0
2011-05-01,25637994450.0,0,0,0
2011-06-01,25450728930.0,0,0,0
2011-07-01,25819478940.0,0,0,0
2011-08-01,25359116370.0,0,0,0
2011-09-01,25484197480.0,0,0,0
2011-10-01,25822116220.0,0,0,0
2011-11-01,28535348330.0,0,0,0
2011-12-01,30813232140.0,0,0,0
2017-01-01,32819604180.000004,0,1,0
2017-02-01,26934889600.0,0,1,0
2017-03-01,25338932770.0,0,1,0
2017-04-01,23763270610.0,0,1,0
2017-05-01,25091264530.0,0,1,0
2017-06-01,26120267980.0,0,1,0
2017-07-01,25808545390.0,0,1,0
2017-08-01,24590121460.0,0,1,0
2017-09-01,24699963800.0,0,1,0
2017-10-01,26615944810.0,0,1,0
2017-11-01,30317513290.0,0,1,0
2017-12-01,31225738280.0,0,1,0
