,country,series,log,diff_level,diff_order,regression,stationary,p_value
276,czech republic,gdp,1,4,1,c,0,0.46854781439157756
277,czech republic,gdp,1,4,2,c,0,0.4546934994925191
278,czech republic,gdp,1,8,1,c,0,0.2515295405166371
279,czech republic,gdp,1,8,2,c,1,0.03260964028206808
280,czech republic,pop,0,0,1,c,0,0.7126879251380993
281,czech republic,pop,0,0,2,c,0,0.7126879251380993
282,czech republic,pop,0,1,1,c,0,0.08460904125781193
283,czech republic,pop,0,1,2,c,1,1.3660049166837329e-17
284,czech republic,pop,0,2,1,c,0,0.06920693628846311
285,czech republic,pop,0,2,2,c,0,0.08818118517643292
286,czech republic,pop,0,4,1,c,0,0.17781646362331255
287,czech republic,pop,0,4,2,c,0,0.14705088511487652
288,czech republic,pop,0,8,1,c,0,0.07474426421886335
289,czech republic,pop,0,8,2,c,0,0.45486490135822444
290,czech republic,pop,1,0,1,c,0,0.6916981397207044
291,czech republic,pop,1,0,2,c,0,0.6916981397207044
292,czech republic,pop,1,1,1,c,0,0.08043444431326646
293,czech republic,pop,1,1,2,c,1,1.1437312823072721e-17
294,czech republic,pop,1,2,1,c,0,0.06631792040130488
295,czech republic,pop,1,2,2,c,0,0.08826197517090278
296,czech republic,pop,1,4,1,c,0,0.1758246358457926
297,czech republic,pop,1,4,2,c,0,0.14787103495288884
298,czech republic,pop,1,8,1,c,0,0.07284090990037265
299,czech republic,pop,1,8,2,c,0,0.4499567536175834
300,france,co2,0,0,1,c,0,0.9085195034021103
301,france,co2,0,0,2,c,0,0.9085195034021103
302,france,co2,0,1,1,c,1,1.8582192777193038e-07
303,france,co2,0,1,2,c,1,6.170878581140398e-06
304,france,co2,0,2,1,c,1,0.0013368224944155134
305,france,co2,0,2,2,c,1,4.1306743614308223e-07
306,france,co2,0,4,1,c,1,0.0009946800379357602
307,france,co2,0,4,2,c,1,0.0007799064193969257
308,france,co2,0,8,1,c,1,0.0009053124934834208
309,france,co2,0,8,2,c,1,5.246187871729164e-06
310,france,co2,1,0,1,c,0,0.8722316264639496
311,france,co2,1,0,2,c,0,0.8722316264639496
312,france,co2,1,1,1,c,1,0.0013537442674406335
313,france,co2,1,1,2,c,1,1.237829213422813e-05
314,france,co2,1,2,1,c,1,0.0009557352347253682
315,france,co2,1,2,2,c,1,5.895946158780967e-07
316,france,co2,1,4,1,c,1,0.0005194230399307884
317,france,co2,1,4,2,c,1,0.00033246803923880615
318,france,co2,1,8,1,c,1,0.00018107763813645432
319,france,co2,1,8,2,c,1,5.437349584795253e-07
320,france,gdp,0,0,1,c,0,0.9985032512709996
321,france,gdp,0,0,2,c,0,0.9985032512709996
322,france,gdp,0,1,1,c,0,0.6397841510143849
323,france,gdp,0,1,2,c,1,1.9297306730395858e-06
324,france,gdp,0,2,1,c,0,0.7199675398226473
325,france,gdp,0,2,2,c,1,2.463966083740578e-06
326,france,gdp,0,4,1,c,0,0.5232809546228409
327,france,gdp,0,4,2,c,0,0.14598867437771407
328,france,gdp,0,8,1,c,0,0.4537105414466677
329,france,gdp,0,8,2,c,1,0.0012954210499837226
330,france,gdp,1,0,1,c,0,0.9806181731725757
331,france,gdp,1,0,2,c,0,0.9806181731725757
332,france,gdp,1,1,1,c,1,0.00031540826056121555
333,france,gdp,1,1,2,c,1,2.0272170352284577e-05
334,france,gdp,1,2,1,c,1,0.024614142926687243
335,france,gdp,1,2,2,c,1,9.178573385581554e-06
336,france,gdp,1,4,1,c,0,0.0724094077786102
337,france,gdp,1,4,2,c,0,0.0763639514370911
338,france,gdp,1,8,1,c,1,0.0037050915344902357
339,france,gdp,1,8,2,c,1,0.00010578375026971365
340,france,pop,0,0,1,c,1,0.022692830985739886
341,france,pop,0,0,2,c,1,0.022692830985739886
342,france,pop,0,1,1,c,0,0.8088329320299223
343,france,pop,0,1,2,c,0,0.10567493590835675
344,france,pop,0,2,1,c,0,0.8708633318010179
345,france,pop,0,2,2,c,0,0.07037038484698857
346,france,pop,0,4,1,c,0,0.7296920213018899
347,france,pop,0,4,2,c,0,0.15324519107970336
348,france,pop,0,8,1,c,0,0.5676127430921194
349,france,pop,0,8,2,c,0,0.2851903598560903
350,france,pop,1,0,1,c,1,0.022434397152703026
351,france,pop,1,0,2,c,1,0.022434397152703026
352,france,pop,1,1,1,c,0,0.8093547090015568
353,france,pop,1,1,2,c,0,0.11445029664240008
354,france,pop,1,2,1,c,0,0.8604330296671656
355,france,pop,1,2,2,c,0,0.07946348572810435
356,france,pop,1,4,1,c,0,0.6709593786356165
357,france,pop,1,4,2,c,0,0.1810216278201977
358,france,pop,1,8,1,c,0,0.4840523026281018
359,france,pop,1,8,2,c,0,0.3409785593255089
360,germany,co2,0,0,1,c,0,0.9879707872760318
361,germany,co2,0,0,2,c,0,0.9879707872760318
362,germany,co2,0,1,1,c,1,7.045766933817918e-10
363,germany,co2,0,1,2,c,1,2.1761212822783288e-11
364,germany,co2,0,2,1,c,0,0.48397343014721955
365,germany,co2,0,2,2,c,1,0.03422487091780868
366,germany,co2,0,4,1,c,0,0.46822527716434525
367,germany,co2,0,4,2,c,1,0.02026610943513553
368,germany,co2,0,8,1,c,1,1.7374994149053192e-07
369,germany,co2,0,8,2,c,1,0.00047268173980749974
370,germany,co2,1,0,1,c,0,0.9836193699073343
371,germany,co2,1,0,2,c,0,0.9836193699073343
372,germany,co2,1,1,1,c,0,0.6163803640212118
373,germany,co2,1,1,2,c,1,3.0198897277124345e-12
374,germany,co2,1,2,1,c,0,0.6544605022328652
375,germany,co2,1,2,2,c,1,0.0016874997979106094
376,germany,co2,1,4,1,c,0,0.6481937507359593
377,germany,co2,1,4,2,c,0,0.20568901274194168
378,germany,co2,1,8,1,c,1,0.00011391891557164015
379,germany,co2,1,8,2,c,0,0.0806708357920563
380,germany,gdp,0,0,1,c,0,0.9987030321187863
381,germany,gdp,0,0,2,c,0,0.9987030321187863
382,germany,gdp,0,1,1,c,1,0.0005629758305440062
383,germany,gdp,0,1,2,c,1,2.8087073939039455e-15
384,germany,gdp,0,2,1,c,1,0.0005187452124429512
385,germany,gdp,0,2,2,c,1,0.0005734191384561384
386,germany,gdp,0,4,1,c,0,0.4300883619251619
387,germany,gdp,0,4,2,c,1,0.0031274675309285248
388,germany,gdp,0,8,1,c,0,0.841427381926545
389,germany,gdp,0,8,2,c,1,0.0047389494097238765
390,germany,gdp,1,0,1,c,0,0.9815719398282862
391,germany,gdp,1,0,2,c,0,0.9815719398282862
392,germany,gdp,1,1,1,c,1,1.3272559332143098e-08
393,germany,gdp,1,1,2,c,1,3.630997152404044e-15
394,germany,gdp,1,2,1,c,1,1.437824443358232e-05
395,germany,gdp,1,2,2,c,1,0.0004549201564828716
396,germany,gdp,1,4,1,c,1,0.016338327125487804
397,germany,gdp,1,4,2,c,1,0.0016760373778585862
398,germany,gdp,1,8,1,c,1,0.025498446315791703
399,germany,gdp,1,8,2,c,1,0.004523375468340921
400,germany,pop,0,0,1,c,0,0.2718401781192599
401,germany,pop,0,0,2,c,0,0.2718401781192599
402,germany,pop,0,1,1,c,0,0.6107841216654262
403,germany,pop,0,1,2,c,1,4.064103443059137e-15
404,germany,pop,0,2,1,c,0,0.6458899536796361
405,germany,pop,0,2,2,c,1,0.03213944854702797
406,germany,pop,0,4,1,c,0,0.5703769738379855
407,germany,pop,0,4,2,c,0,0.6796712533059854
408,germany,pop,0,8,1,c,1,0.0006969323468837404
409,germany,pop,0,8,2,c,0,0.371714404185899
410,germany,pop,1,0,1,c,0,0.2617024529276226
411,germany,pop,1,0,2,c,0,0.2617024529276226
412,germany,pop,1,1,1,c,0,0.6123541237758274
413,germany,pop,1,1,2,c,1,4.106221950348807e-15
414,germany,pop,1,2,1,c,0,0.6445929146467807
415,germany,pop,1,2,2,c,1,0.0330749999567027
416,germany,pop,1,4,1,c,0,0.5676166890889398
417,germany,pop,1,4,2,c,0,0.6799920561549229
418,germany,pop,1,8,1,c,1,0.0006726246263940703
419,germany,pop,1,8,2,c,0,0.3635837061912036
420,greece,co2,0,0,1,c,0,0.9904022488826798
421,greece,co2,0,0,2,c,0,0.9904022488826798
422,greece,co2,0,1,1,c,1,3.1199579246623076e-05
423,greece,co2,0,1,2,c,1,5.746362749710715e-10
424,greece,co2,0,2,1,c,1,3.0579504931154756e-05
425,greece,co2,0,2,2,c,1,8.141871849564367e-13
426,greece,co2,0,4,1,c,1,1.5429552131603368e-05
427,greece,co2,0,4,2,c,1,0.0005253176538368013
428,greece,co2,0,8,1,c,0,0.35957201079600704
429,greece,co2,0,8,2,c,0,0.10209434538930973
430,greece,co2,1,0,1,c,0,0.9945701462668198
431,greece,co2,1,0,2,c,0,0.9945701462668198
432,greece,co2,1,1,1,c,1,6.910219389198685e-05
433,greece,co2,1,1,2,c,1,2.924168515163951e-10
434,greece,co2,1,2,1,c,1,6.789500016295477e-05
435,greece,co2,1,2,2,c,1,1.3054651191933727e-13
436,greece,co2,1,4,1,c,1,4.462214065187968e-05
437,greece,co2,1,4,2,c,1,0.000476472956586447
438,greece,co2,1,8,1,c,0,0.41689539215980337
439,greece,co2,1,8,2,c,0,0.11872568958236823
440,greece,gdp,0,0,1,c,0,0.24406527176427567
441,greece,gdp,0,0,2,c,0,0.24406527176427567
442,greece,gdp,0,1,1,c,1,0.0035577939561184063
443,greece,gdp,0,1,2,c,1,5.614840454285771e-10
444,greece,gdp,0,2,1,c,0,0.15985426540967157
445,greece,gdp,0,2,2,c,1,0.012016234569692948
446,greece,gdp,0,4,1,c,0,0.21389703118026354
447,greece,gdp,0,4,2,c,0,0.0701008570670945
448,greece,gdp,0,8,1,c,0,0.3918282078495485
449,greece,gdp,0,8,2,c,0,0.2545830227979202
450,greece,gdp,1,0,1,c,0,0.1714076253767366
451,greece,gdp,1,0,2,c,0,0.1714076253767366
452,greece,gdp,1,1,1,c,1,0.0056343254900599075
