series,log,diff_level1,diff_level2,regression,stationary,p_value
co2,1,1,8,n,0.75,0.027018349392878026
co2,1,2,0,c,0.47368421052631576,0.13996245193207732
co2,1,2,0,ct,0.0,0.4701946112005092
co2,1,2,0,ctt,0.1,0.42633212672989995
co2,1,2,0,n,0.7777777777777778,0.06762621692658644
co2,1,2,1,c,0.9473684210526315,0.012764561264405918
co2,1,2,1,ct,0.0,0.4991738574200441
co2,1,2,1,ctt,0.0,0.7344439675061439
co2,1,2,1,n,1.0,0.02577167603093387
co2,1,2,2,c,1.0,0.0032598816707201544
co2,1,2,4,c,0.9473684210526315,0.023835993377377972
co2,1,2,4,ct,0.0,0.651634508489646
co2,1,2,4,ctt,0.0,0.8507690957883567
co2,1,2,4,n,0.0,0.07665869124736989
co2,1,2,8,c,0.5789473684210527,0.07095032322301716
co2,1,2,8,ct,0.0,0.32136780334685566
co2,1,2,8,ctt,0.0,0.4685116708307023
co2,1,2,8,n,0.875,0.019075655355670743
co2,1,4,0,c,0.47368421052631576,0.11380690762903856
co2,1,4,0,ct,0.0,0.41260649801944493
co2,1,4,0,ctt,0.2,0.38612122481260014
co2,1,4,0,n,0.875,0.05411962225697304
co2,1,4,1,c,0.9473684210526315,0.010315176181541881
co2,1,4,1,ct,0.0,0.4743176524054132
co2,1,4,1,ctt,0.0,0.7123529560378792
co2,1,4,1,n,1.0,0.023044740491759644
co2,1,4,2,c,0.9473684210526315,0.023835993377377972
co2,1,4,2,ct,0.0,0.651634508489646
co2,1,4,2,ctt,0.0,0.8507690957883567
co2,1,4,2,n,0.0,0.07665869124736989
co2,1,4,4,c,0.6842105263157895,0.07735014322256675
co2,1,4,4,ct,0.0,0.4740487338233861
co2,1,4,4,ctt,0.0,0.5900419431047872
co2,1,4,4,n,0.8333333333333334,0.03899557001419799
co2,1,4,8,c,0.3684210526315789,0.14008348986513477
co2,1,4,8,ct,0.0,0.41347076120808146
co2,1,4,8,ctt,0.0,0.5889132885909639
co2,1,4,8,n,0.75,0.03443675562780281
co2,1,8,0,c,0.2631578947368421,0.16021469451017759
co2,1,8,0,ct,0.07142857142857142,0.47888590772701123
co2,1,8,0,ctt,0.15384615384615385,0.37474485463804535
co2,1,8,0,n,0.5454545454545454,0.08264007262780008
co2,1,8,1,c,0.7894736842105263,0.04449467366766971
co2,1,8,1,ct,0.0,0.3893546082608884
co2,1,8,1,ctt,0.0,0.6123873929832037
co2,1,8,1,n,0.75,0.027018349392878026
co2,1,8,2,c,0.5789473684210527,0.07095032322301716
co2,1,8,2,ct,0.0,0.32136780334685566
co2,1,8,2,ctt,0.0,0.4685116708307023
co2,1,8,2,n,0.875,0.019075655355670743
co2,1,8,4,c,0.3684210526315789,0.14008348986513477
co2,1,8,4,ct,0.0,0.41347076120808146
co2,1,8,4,ctt,0.0,0.5889132885909639
co2,1,8,4,n,0.75,0.03443675562780281
co2,1,8,8,c,0.15789473684210525,0.14933123854335315
co2,1,8,8,ct,0.125,0.2520201825148099
co2,1,8,8,ctt,0.0,0.5838927866901816
co2,1,8,8,n,0.8571428571428571,0.021890254334341396
co2_cap,0,0,0,c,0.05263157894736842,0.7687251833800852
co2_cap,0,0,0,ct,0.0,0.45438846848881476
co2_cap,0,0,0,ctt,0.0,0.632568528313294
co2_cap,0,0,0,n,0.1111111111111111,0.31754899084319754
co2_cap,0,0,1,c,0.7368421052631579,0.08554215069726623
co2_cap,0,0,1,ct,0.0,0.5647654375009574
co2_cap,0,0,1,ctt,0.2,0.5261402453039397
co2_cap,0,0,1,n,0.0,0.12036112938113591
co2_cap,0,0,2,c,0.5789473684210527,0.13366776356373586
co2_cap,0,0,2,ct,0.0,0.4998749797924575
co2_cap,0,0,2,ctt,0.25,0.38116890054025304
co2_cap,0,0,2,n,0.3333333333333333,0.1261724614989044
co2_cap,0,0,4,c,0.631578947368421,0.11040799454320119
co2_cap,0,0,4,ct,0.14285714285714285,0.4090855657566975
co2_cap,0,0,4,ctt,0.16666666666666666,0.452135121504251
co2_cap,0,0,4,n,0.2,0.1268031743644597
co2_cap,0,0,8,c,0.47368421052631576,0.12624044123323094
co2_cap,0,0,8,ct,0.1,0.47046602824237976
co2_cap,0,0,8,ctt,0.2222222222222222,0.4501330897815046
co2_cap,0,0,8,n,0.2857142857142857,0.12070908973608252
co2_cap,0,1,0,c,0.7368421052631579,0.08554215069726623
co2_cap,0,1,0,ct,0.0,0.5647654375009574
co2_cap,0,1,0,ctt,0.2,0.5261402453039397
co2_cap,0,1,0,n,0.0,0.12036112938113591
co2_cap,0,1,1,c,1.0,9.749906096090824e-07
co2_cap,0,1,2,c,0.9473684210526315,0.008570327475110814
co2_cap,0,1,2,ct,0.0,0.35703635114123305
co2_cap,0,1,2,ctt,0.0,0.5828040172675515
co2_cap,0,1,2,n,1.0,0.012689929837894937
co2_cap,0,1,4,c,0.9473684210526315,0.007225526987443897
co2_cap,0,1,4,ct,0.0,0.32497499087677656
co2_cap,0,1,4,ctt,0.0,0.5449622622792085
co2_cap,0,1,4,n,1.0,0.010604110899897353
co2_cap,0,1,8,c,0.8947368421052632,0.025652240761626872
co2_cap,0,1,8,ct,0.0,0.4590714317862169
co2_cap,0,1,8,ctt,0.0,0.8623881168403021
co2_cap,0,1,8,n,1.0,0.02686499285639762
co2_cap,0,2,0,c,0.5789473684210527,0.13366776356373586
co2_cap,0,2,0,ct,0.0,0.4998749797924575
co2_cap,0,2,0,ctt,0.25,0.38116890054025304
co2_cap,0,2,0,n,0.3333333333333333,0.1261724614989044
co2_cap,0,2,1,c,0.9473684210526315,0.008570327475110814
co2_cap,0,2,1,ct,0.0,0.35703635114123305
co2_cap,0,2,1,ctt,0.0,0.5828040172675515
co2_cap,0,2,1,n,1.0,0.012689929837894937
co2_cap,0,2,2,c,0.9473684210526315,0.018059807443536975
co2_cap,0,2,2,ct,0.0,0.6312273798319653
co2_cap,0,2,2,ctt,0.0,0.7628125994098525
co2_cap,0,2,2,n,1.0,0.043219438725267144
co2_cap,0,2,4,c,0.8421052631578947,0.03828925188777464
co2_cap,0,2,4,ct,0.3333333333333333,0.3649026158611672
co2_cap,0,2,4,ctt,0.0,0.7545905370777891
co2_cap,0,2,4,n,1.0,0.041666409309386754
co2_cap,0,2,8,c,0.631578947368421,0.060044024680297875
co2_cap,0,2,8,ct,0.14285714285714285,0.2662178914127759
co2_cap,0,2,8,ctt,0.0,0.3931570766954778
co2_cap,0,2,8,n,0.8333333333333334,0.019402099679322393
co2_cap,0,4,0,c,0.631578947368421,0.11040799454320119
co2_cap,0,4,0,ct,0.14285714285714285,0.4090855657566975
co2_cap,0,4,0,ctt,0.16666666666666666,0.452135121504251
co2_cap,0,4,0,n,0.2,0.1268031743644597
co2_cap,0,4,1,c,0.9473684210526315,0.007225526987443897
co2_cap,0,4,1,ct,0.0,0.32497499087677656
co2_cap,0,4,1,ctt,0.0,0.5449622622792085
co2_cap,0,4,1,n,1.0,0.010604110899897353
co2_cap,0,4,2,c,0.8421052631578947,0.03828925188777464
co2_cap,0,4,2,ct,0.3333333333333333,0.3649026158611672
co2_cap,0,4,2,ctt,0.0,0.7545905370777891
co2_cap,0,4,2,n,1.0,0.041666409309386754
co2_cap,0,4,4,c,0.7368421052631579,0.054492521781030215
co2_cap,0,4,4,ct,0.0,0.3975634797358159
co2_cap,0,4,4,ctt,0.0,0.524042091702313
co2_cap,0,4,4,n,0.8,0.02909134827650158
co2_cap,0,4,8,c,0.47368421052631576,0.09804837550825486
co2_cap,0,4,8,ct,0.0,0.3754313611660714
co2_cap,0,4,8,ctt,0.0,0.5468588120823161
co2_cap,0,4,8,n,0.9,0.025814168558419955
co2_cap,0,8,0,c,0.47368421052631576,0.12624044123323094
co2_cap,0,8,0,ct,0.1,0.47046602824237976
co2_cap,0,8,0,ctt,0.2222222222222222,0.4501330897815046
co2_cap,0,8,0,n,0.2857142857142857,0.12070908973608252
co2_cap,0,8,1,c,0.8947368421052632,0.025652240761626872
co2_cap,0,8,1,ct,0.0,0.4590714317862169
co2_cap,0,8,1,ctt,0.0,0.8623881168403021
co2_cap,0,8,1,n,1.0,0.02686499285639762
co2_cap,0,8,2,c,0.631578947368421,0.060044024680297875
co2_cap,0,8,2,ct,0.14285714285714285,0.2662178914127759
co2_cap,0,8,2,ctt,0.0,0.3931570766954778
co2_cap,0,8,2,n,0.8333333333333334,0.019402099679322393
co2_cap,0,8,4,c,0.47368421052631576,0.09804837550825486
co2_cap,0,8,4,ct,0.0,0.3754313611660714
co2_cap,0,8,4,ctt,0.0,0.5468588120823161
co2_cap,0,8,4,n,0.9,0.025814168558419955
co2_cap,0,8,8,c,0.3684210526315789,0.10831478750435375
co2_cap,0,8,8,ct,0.16666666666666666,0.26273559971774135
co2_cap,0,8,8,ctt,0.0,0.534672641093831
co2_cap,0,8,8,n,0.9,0.020028334541155206
co2_cap,1,0,0,c,0.05263157894736842,0.7160893217904288
co2_cap,1,0,0,ct,0.05555555555555555,0.4318375980056198
co2_cap,1,0,0,ctt,0.0,0.6475608224736523
co2_cap,1,0,0,n,0.11764705882352941,0.30342062306965834
co2_cap,1,0,1,c,0.47368421052631576,0.1488389100026298
co2_cap,1,0,1,ct,0.0,0.46070229316200545
co2_cap,1,0,1,ctt,0.2,0.4142440732271851
co2_cap,1,0,1,n,0.375,0.13183397232418043
co2_cap,1,0,2,c,0.42105263157894735,0.14699973682575487
co2_cap,1,0,2,ct,0.0,0.4299966379722439
co2_cap,1,0,2,ctt,0.09090909090909091,0.3960586803281841
co2_cap,1,0,2,n,0.5,0.1135429281400278
co2_cap,1,0,4,c,0.47368421052631576,0.12876346133789437
co2_cap,1,0,4,ct,0.1,0.3824063503732572
co2_cap,1,0,4,ctt,0.1111111111111111,0.4059545027331044
co2_cap,1,0,4,n,0.5,0.10837761790676528
co2_cap,1,0,8,c,0.2631578947368421,0.15609908215789686
co2_cap,1,0,8,ct,0.0,0.4660441723909889
co2_cap,1,0,8,ctt,0.21428571428571427,0.38995828717680847
co2_cap,1,0,8,n,0.36363636363636365,0.10806055881647493
co2_cap,1,1,0,c,0.47368421052631576,0.1488389100026298
co2_cap,1,1,0,ct,0.0,0.46070229316200545
co2_cap,1,1,0,ctt,0.2,0.4142440732271851
co2_cap,1,1,0,n,0.375,0.13183397232418043
co2_cap,1,1,1,c,1.0,1.866485100787582e-05
co2_cap,1,1,2,c,0.9473684210526315,0.01125073441204851
co2_cap,1,1,2,ct,0.0,0.4491582229402024
co2_cap,1,1,2,ctt,0.0,0.6612107285524245
co2_cap,1,1,2,n,1.0,0.02057455222775727
co2_cap,1,1,4,c,0.9473684210526315,0.008726064068561426
co2_cap,1,1,4,ct,0.0,0.4236955454303116
co2_cap,1,1,4,ctt,0.0,0.6350628277253105
co2_cap,1,1,4,n,1.0,0.018242587928294907
co2_cap,1,1,8,c,0.7368421052631579,0.062450554895815705
co2_cap,1,1,8,ct,0.0,0.4586874767564134
co2_cap,1,1,8,ctt,0.0,0.6603656556439212
co2_cap,1,1,8,n,0.6,0.034140274277268866
co2_cap,1,2,0,c,0.42105263157894735,0.14699973682575487
co2_cap,1,2,0,ct,0.0,0.4299966379722439
co2_cap,1,2,0,ctt,0.09090909090909091,0.3960586803281841
co2_cap,1,2,0,n,0.5,0.1135429281400278
co2_cap,1,2,1,c,0.9473684210526315,0.01125073441204851
co2_cap,1,2,1,ct,0.0,0.4491582229402024
co2_cap,1,2,1,ctt,0.0,0.6612107285524245
co2_cap,1,2,1,n,1.0,0.02057455222775727
co2_cap,1,2,2,c,1.0,0.0029585617465919182
co2_cap,1,2,4,c,0.9473684210526315,0.024626828146164594
co2_cap,1,2,4,ct,0.0,0.6544948141185093
co2_cap,1,2,4,ctt,0.0,0.8542504478446115
co2_cap,1,2,4,n,0.0,0.08324146219900241
co2_cap,1,2,8,c,0.5789473684210527,0.07355828279674428
co2_cap,1,2,8,ct,0.0,0.3268608667840486
co2_cap,1,2,8,ctt,0.0,0.44406170927900496
co2_cap,1,2,8,n,0.875,0.01997038403780856
co2_cap,1,4,0,c,0.47368421052631576,0.12876346133789437
co2_cap,1,4,0,ct,0.1,0.3824063503732572
co2_cap,1,4,0,ctt,0.1111111111111111,0.4059545027331044
co2_cap,1,4,0,n,0.5,0.10837761790676528
co2_cap,1,4,1,c,0.9473684210526315,0.008726064068561426
co2_cap,1,4,1,ct,0.0,0.4236955454303116
co2_cap,1,4,1,ctt,0.0,0.6350628277253105
co2_cap,1,4,1,n,1.0,0.018242587928294907
co2_cap,1,4,2,c,0.9473684210526315,0.0246268281461646
co2_cap,1,4,2,ct,0.0,0.6544948141185093
co2_cap,1,4,2,ctt,0.0,0.8542504478446115
co2_cap,1,4,2,n,0.0,0.08324146219900241
co2_cap,1,4,4,c,0.6842105263157895,0.07752011191016797
co2_cap,1,4,4,ct,0.0,0.4573825731901831
co2_cap,1,4,4,ctt,0.0,0.5711835535492713
co2_cap,1,4,4,n,0.8333333333333334,0.039630910019622635
co2_cap,1,4,8,c,0.3684210526315789,0.14237163312312173
co2_cap,1,4,8,ct,0.0,0.4142054292804378
co2_cap,1,4,8,ctt,0.0,0.5766081778990904
co2_cap,1,4,8,n,0.75,0.03528561143270225
co2_cap,1,8,0,c,0.2631578947368421,0.15609908215789686
co2_cap,1,8,0,ct,0.0,0.4660441723909889
co2_cap,1,8,0,ctt,0.21428571428571427,0.38995828717680847
co2_cap,1,8,0,n,0.36363636363636365,0.10806055881647493
co2_cap,1,8,1,c,0.7368421052631579,0.062450554895815635
co2_cap,1,8,1,ct,0.0,0.45868747675640115
co2_cap,1,8,1,ctt,0.0,0.6603656556453066
co2_cap,1,8,1,n,0.6,0.034140274277268665
co2_cap,1,8,2,c,0.5789473684210527,0.0735582827967443
co2_cap,1,8,2,ct,0.0,0.3268608667840486
co2_cap,1,8,2,ctt,0.0,0.44406170927900496
co2_cap,1,8,2,n,0.875,0.01997038403780856
co2_cap,1,8,4,c,0.3684210526315789,0.14237163312312176
co2_cap,1,8,4,ct,0.0,0.41420542928043785
co2_cap,1,8,4,ctt,0.0,0.5766081778990896
co2_cap,1,8,4,n,0.75,0.035285611432702244
co2_cap,1,8,8,c,0.15789473684210525,0.1554706926427281
co2_cap,1,8,8,ct,0.125,0.2950841646938098
co2_cap,1,8,8,ctt,0.0,0.5673772623025057
co2_cap,1,8,8,n,0.8571428571428571,0.022737190885961232
gdp,0,0,0,c,0.0,0.9450692339732141
gdp,0,0,0,ct,0.05263157894736842,0.7718563452462893
gdp,0,0,0,ctt,0.05555555555555555,0.7959576939043851
gdp,0,0,0,n,0.0,0.9935409600645765
gdp,0,0,1,c,0.8947368421052632,0.04061307397617318
gdp,0,0,1,ct,0.0,0.3190783796277716
gdp,0,0,1,ctt,0.0,0.3605782732309289
gdp,0,0,1,n,0.0,0.7058615653247033
gdp,0,0,2,c,0.3684210526315789,0.3005291869538704
gdp,0,0,2,ct,0.08333333333333333,0.46630824750816036
gdp,0,0,2,ctt,0.0,0.4508184708649544
gdp,0,0,2,n,0.09090909090909091,0.5327135361230328
gdp,0,0,4,c,0.10526315789473684,0.47153237528401265
gdp,0,0,4,ct,0.0,0.6266909271616634
gdp,0,0,4,ctt,0.0,0.608103544163039
gdp,0,0,4,n,0.058823529411764705,0.6537207172608985
gdp,0,0,8,c,0.0,0.5160885156980054
gdp,0,0,8,ct,0.0,0.5844865442534405
gdp,0,0,8,ctt,0.10526315789473684,0.42689473689557017
gdp,0,0,8,n,0.0,0.6578755312925505
gdp,0,1,0,c,0.8947368421052632,0.04061307397617318
gdp,0,1,0,ct,0.0,0.3190783796277716
gdp,0,1,0,ctt,0.0,0.3605782732309289
gdp,0,1,0,n,0.0,0.7058615653247033
gdp,0,1,1,c,0.9473684210526315,0.008948860388831576
gdp,0,1,1,ct,0.0,0.1113657549905483
gdp,0,1,1,ctt,0.0,0.1904000409655861
gdp,0,1,1,n,1.0,0.02734725285083967
gdp,0,1,2,c,0.9473684210526315,0.009789980322108455
gdp,0,1,2,ct,0.0,0.4658477957260825
gdp,0,1,2,ctt,0.0,0.5259257359893696
gdp,0,1,2,n,1.0,0.03272523796803194
gdp,0,1,4,c,0.631578947368421,0.08206516575359282
gdp,0,1,4,ct,0.0,0.35936992173921184
gdp,0,1,4,ctt,0.2857142857142857,0.35593246797585515
gdp,0,1,4,n,0.4,0.05989661067138093
gdp,0,1,8,c,0.5263157894736842,0.07847769838785697
gdp,0,1,8,ct,0.0,0.3078983236114392
gdp,0,1,8,ctt,0.1111111111111111,0.35342119461627597
gdp,0,1,8,n,0.875,0.031031941851989632
gdp,0,2,0,c,0.3684210526315789,0.3005291869538704
gdp,0,2,0,ct,0.08333333333333333,0.46630824750816036
gdp,0,2,0,ctt,0.0,0.4508184708649544
gdp,0,2,0,n,0.09090909090909091,0.5327135361230328
gdp,0,2,1,c,0.9473684210526315,0.009789980322108455
gdp,0,2,1,ct,0.0,0.4658477957260825
gdp,0,2,1,ctt,0.0,0.5259257359893696
gdp,0,2,1,n,1.0,0.03272523796803194
gdp,0,2,2,c,0.7894736842105263,0.05765256176530865
gdp,0,2,2,ct,0.0,0.4045823807244949
gdp,0,2,2,ctt,0.25,0.3429301041726548
gdp,0,2,2,n,0.6666666666666666,0.04624718557199387
gdp,0,2,4,c,0.631578947368421,0.08050545749899927
gdp,0,2,4,ct,0.0,0.3531870096005219
gdp,0,2,4,ctt,0.2857142857142857,0.2716001862596625
gdp,0,2,4,n,0.6,0.04424057031498667
gdp,0,2,8,c,0.5263157894736842,0.11816756945958477
gdp,0,2,8,ct,0.0,0.3375522151054131
gdp,0,2,8,ctt,0.0,0.32744813489499924
gdp,0,2,8,n,0.6666666666666666,0.06392981152215448
gdp,0,4,0,c,0.10526315789473684,0.47153237528401265
gdp,0,4,0,ct,0.0,0.6266909271616634
gdp,0,4,0,ctt,0.0,0.608103544163039
gdp,0,4,0,n,0.058823529411764705,0.6537207172608985
gdp,0,4,1,c,0.631578947368421,0.08206516575359282
gdp,0,4,1,ct,0.0,0.35936992173921184
gdp,0,4,1,ctt,0.2857142857142857,0.35593246797585515
gdp,0,4,1,n,0.4,0.05989661067138093
gdp,0,4,2,c,0.631578947368421,0.08050545749899927
gdp,0,4,2,ct,0.0,0.3531870096005219
gdp,0,4,2,ctt,0.2857142857142857,0.2716001862596625
gdp,0,4,2,n,0.6,0.04424057031498667
gdp,0,4,4,c,0.3684210526315789,0.22189751917013473
gdp,0,4,4,ct,0.0,0.5497341204357428
gdp,0,4,4,ctt,0.0,0.5421559224972905
gdp,0,4,4,n,0.4166666666666667,0.10656948215304152
gdp,0,4,8,c,0.3684210526315789,0.14255428302489198
gdp,0,4,8,ct,0.0,0.3634821600913243
gdp,0,4,8,ctt,0.16666666666666666,0.34809627507364027
gdp,0,4,8,n,0.7,0.03356123815287792
gdp,0,8,0,c,0.0,0.5160885156980054
gdp,0,8,0,ct,0.0,0.5844865442534405
gdp,0,8,0,ctt,0.10526315789473684,0.42689473689557017
gdp,0,8,0,n,0.0,0.6578755312925505
gdp,0,8,1,c,0.5263157894736842,0.07847769838785697
gdp,0,8,1,ct,0.0,0.3078983236114392
gdp,0,8,1,ctt,0.1111111111111111,0.35342119461627597
gdp,0,8,1,n,0.875,0.031031941851989632
gdp,0,8,2,c,0.5263157894736842,0.11816756945958477
gdp,0,8,2,ct,0.0,0.3375522151054131
gdp,0,8,2,ctt,0.0,0.32744813489499924
gdp,0,8,2,n,0.6666666666666666,0.06392981152215448
gdp,0,8,4,c,0.3684210526315789,0.14255428302489198
gdp,0,8,4,ct,0.0,0.3634821600913243
gdp,0,8,4,ctt,0.16666666666666666,0.34809627507364027
gdp,0,8,4,n,0.7,0.03356123815287792
gdp,0,8,8,c,0.21052631578947367,0.2808133349271697
gdp,0,8,8,ct,0.0,0.4256256585768836
gdp,0,8,8,ctt,0.06666666666666667,0.43949997842415023
gdp,0,8,8,n,0.42857142857142855,0.12835030081405158
gdp,1,0,0,c,0.05263157894736842,0.762221112294705
gdp,1,0,0,ct,0.0,0.45121578631509884
gdp,1,0,0,ctt,0.05555555555555555,0.6934719642974486
gdp,1,0,0,n,0.0,0.9951588949744613
gdp,1,0,1,c,1.0,0.0033756971714992146
gdp,1,0,2,c,0.5263157894736842,0.09788986214934171
gdp,1,0,2,ct,0.1111111111111111,0.38754387282500385
gdp,1,0,2,ctt,0.0,0.456902135450158
gdp,1,0,2,n,0.125,0.2664637457234027
gdp,1,0,4,c,0.15789473684210525,0.28548847994940346
gdp,1,0,4,ct,0.0625,0.5666361249891437
gdp,1,0,4,ctt,0.0,0.5028793688994913
