,country,series,log,diff_level,regression,stationary,p_value
255,romania,co2,1,0,c,0,0.6451907689244994
256,romania,co2,1,1,c,1,0.0002711703630562888
257,romania,co2,1,2,c,1,0.0004467959605667835
258,romania,gdp,0,0,c,0,0.9960181247750726
259,romania,gdp,0,1,c,0,0.21152320377178152
260,romania,gdp,0,2,c,0,0.31619697971795124
261,romania,gdp,1,0,c,0,0.7799812112258199
262,romania,gdp,1,1,c,1,0.03269247708542742
263,romania,gdp,1,2,c,1,0.09039825590493439
264,romania,pop,0,0,c,0,0.13176396000174012
265,romania,pop,0,1,c,1,0.0006851117339329233
266,romania,pop,0,2,c,1,0.0009116993127884575
267,romania,pop,1,0,c,0,0.18005731264782981
268,romania,pop,1,1,c,1,0.0006800563154404931
269,romania,pop,1,2,c,1,0.0008204443152203339
270,slovakia,co2,0,0,c,0,0.17139401144943156
271,slovakia,co2,0,1,c,1,2.8861003630572025e-07
272,slovakia,co2,0,2,c,1,0.000622935975469665
273,slovakia,co2,1,0,c,1,0.07274499635960391
274,slovakia,co2,1,1,c,1,7.176100124058181e-06
275,slovakia,co2,1,2,c,1,0.00013700533436572507
276,slovakia,gdp,0,0,c,0,0.8853831942800847
277,slovakia,gdp,0,1,c,1,0.01834900432920347
278,slovakia,gdp,0,2,c,1,0.020111546172142232
279,slovakia,gdp,1,0,c,0,0.342482987522455
280,slovakia,gdp,1,1,c,1,0.07659883294622498
281,slovakia,gdp,1,2,c,1,0.080446354772371
282,slovakia,pop,0,0,c,0,0.9414479869286863
283,slovakia,pop,0,1,c,1,0.001326645728533048
284,slovakia,pop,0,2,c,1,0.002298865953627393
285,slovakia,pop,1,0,c,0,0.9404989085046224
286,slovakia,pop,1,1,c,1,0.0013198383336879822
287,slovakia,pop,1,2,c,1,0.002278188617521127
288,spain,co2,0,0,c,0,0.5950838236839756
289,spain,co2,0,1,c,1,0.01124231482919222
290,spain,co2,0,2,c,1,0.00175260071271474
291,spain,co2,1,0,c,0,0.5932019878722787
292,spain,co2,1,1,c,1,0.015732553829236072
293,spain,co2,1,2,c,1,0.002511761158296689
294,spain,gdp,0,0,c,0,0.8928194626903762
295,spain,gdp,0,1,c,0,0.10070792251572158
296,spain,gdp,0,2,c,0,0.3243020241092983
297,spain,gdp,1,0,c,0,0.6274990471533718
298,spain,gdp,1,1,c,0,0.14349841346459324
299,spain,gdp,1,2,c,0,0.33528323015312744
300,spain,pop,0,0,c,1,0.0337780129683272
301,spain,pop,0,1,c,0,0.39300935189981473
302,spain,pop,0,2,c,0,0.5266248081501957
303,spain,pop,1,0,c,1,0.019157689827487383
304,spain,pop,1,1,c,0,0.41426457496423086
305,spain,pop,1,2,c,0,0.5536596086232669
306,switzerland,co2,0,0,c,0,0.7547362287339395
307,switzerland,co2,0,1,c,1,5.862733237992226e-27
308,switzerland,co2,0,2,c,1,3.2668546826507606e-08
309,switzerland,co2,1,0,c,0,0.8124271950548638
310,switzerland,co2,1,1,c,1,5.712308490905403e-29
311,switzerland,co2,1,2,c,1,6.34275663174581e-08
312,switzerland,gdp,0,0,c,0,0.9787137966190426
313,switzerland,gdp,0,1,c,1,0.049127824948765934
314,switzerland,gdp,0,2,c,1,0.034210206275095176
315,switzerland,gdp,1,0,c,0,0.8100450412632364
316,switzerland,gdp,1,1,c,1,0.055254480288421795
317,switzerland,gdp,1,2,c,1,0.0375257055464893
318,switzerland,pop,0,0,c,0,0.9377190137304479
319,switzerland,pop,0,1,c,0,0.166942240919692
320,switzerland,pop,0,2,c,0,0.15245753219012131
321,switzerland,pop,1,0,c,0,0.9051689826304726
322,switzerland,pop,1,1,c,0,0.13050180756432767
323,switzerland,pop,1,2,c,0,0.11634073059559102
324,united kingdom,co2,0,0,c,0,0.9772910162447042
325,united kingdom,co2,0,1,c,1,3.7513536586706075e-13
326,united kingdom,co2,0,2,c,1,5.911359582558855e-13
327,united kingdom,co2,1,0,c,0,0.9659521847342352
328,united kingdom,co2,1,1,c,1,6.8253733888054e-06
329,united kingdom,co2,1,2,c,1,8.365756808675987e-06
330,united kingdom,gdp,0,0,c,0,0.9985568105039291
331,united kingdom,gdp,0,1,c,0,0.1573939688057721
332,united kingdom,gdp,0,2,c,0,0.1706702737857524
333,united kingdom,gdp,1,0,c,0,0.9335461675473475
334,united kingdom,gdp,1,1,c,1,0.049042349244278624
335,united kingdom,gdp,1,2,c,1,0.05341468152382204
336,united kingdom,pop,0,0,c,0,0.6410471537145406
337,united kingdom,pop,0,1,c,0,0.2558945375146832
338,united kingdom,pop,0,2,c,0,0.2355161957412909
339,united kingdom,pop,1,0,c,0,0.5210696278197129
340,united kingdom,pop,1,1,c,0,0.29995666681344096
341,united kingdom,pop,1,2,c,0,0.2788358695455618
