,country,date,year,quarter,gdp
88,belgium,2002-01-01,2002,1,305735900000.0
89,belgium,2002-04-01,2002,2,311407800000.0
90,belgium,2002-07-01,2002,3,315689900000.0
91,belgium,2002-10-01,2002,4,318852200000.0
92,belgium,2003-01-01,2003,1,318806500000.0
93,belgium,2003-04-01,2003,2,319645100000.0
94,belgium,2003-07-01,2003,3,321407800000.0
95,belgium,2003-10-01,2003,4,324005100000.0
96,belgium,2004-01-01,2004,1,329235400000.0
97,belgium,2004-04-01,2004,2,332940500000.0
98,belgium,2004-07-01,2004,3,336163000000.0
99,belgium,2004-10-01,2004,4,338129300000.0
100,belgium,2005-01-01,2005,1,340661400000.0
101,belgium,2005-04-01,2005,2,344465700000.0
102,belgium,2005-07-01,2005,3,349254100000.0
103,belgium,2005-10-01,2005,4,356343800000.0
104,belgium,2006-01-01,2006,1,363678000000.0
105,belgium,2006-04-01,2006,2,369322600000.0
106,belgium,2006-07-01,2006,3,375150100000.0
107,belgium,2006-10-01,2006,4,379515100000.0
108,belgium,2007-01-01,2007,1,385731500000.0
109,belgium,2007-04-01,2007,2,388325500000.0
110,belgium,2007-07-01,2007,3,392812100000.0
111,belgium,2007-10-01,2007,4,397076600000.0
112,belgium,2008-01-01,2008,1,402676700000.0
113,belgium,2008-04-01,2008,2,407166400000.0
114,belgium,2008-07-01,2008,3,409694000000.0
115,belgium,2008-10-01,2008,4,403340400000.0
116,belgium,2009-01-01,2009,1,400665000000.0
117,belgium,2009-04-01,2009,2,402145500000.0
118,belgium,2009-07-01,2009,3,410204700000.0
119,belgium,2009-10-01,2009,4,417383800000.0
120,belgium,2010-01-01,2010,1,423937400000.0
121,belgium,2010-04-01,2010,2,432741600000.0
122,belgium,2010-07-01,2010,3,437248300000.0
123,belgium,2010-10-01,2010,4,442339400000.0
124,belgium,2011-01-01,2011,1,446127800000.0
125,belgium,2011-04-01,2011,2,449841400000.0
126,belgium,2011-07-01,2011,3,454339300000.0
127,belgium,2011-10-01,2011,4,457472200000.0
128,belgium,2012-01-01,2012,1,463189400000.0
129,belgium,2012-04-01,2012,2,466857500000.0
130,belgium,2012-07-01,2012,3,472315200000.0
131,belgium,2012-10-01,2012,4,476681100000.0
132,belgium,2013-01-01,2013,1,479662900000.0
133,belgium,2013-04-01,2013,2,485480000000.0
134,belgium,2013-07-01,2013,3,490067800000.0
135,belgium,2013-10-01,2013,4,494262400000.0
136,belgium,2014-01-01,2014,1,497825100000.0
137,belgium,2014-04-01,2014,2,501185400000.0
138,belgium,2014-07-01,2014,3,506311200000.0
139,belgium,2014-10-01,2014,4,509148000000.0
140,belgium,2015-01-01,2015,1,511055100000.0
141,belgium,2015-04-01,2015,2,518224400000.0
142,belgium,2015-07-01,2015,3,523732100000.0
143,belgium,2015-10-01,2015,4,530621600000.0
144,belgium,2016-01-01,2016,1,537067000000.0
145,belgium,2016-04-01,2016,2,548963400000.0
146,belgium,2016-07-01,2016,3,554761700000.0
147,belgium,2016-10-01,2016,4,562071600000.0
148,belgium,2017-01-01,2017,1,568386400000.0
149,belgium,2017-04-01,2017,2,571295800000.0
150,belgium,2017-07-01,2017,3,573574200000.0
151,belgium,2017-10-01,2017,4,581966100000.0
152,belgium,2018-01-01,2018,1,587603200000.0
153,belgium,2018-04-01,2018,2,596297600000.0
154,belgium,2018-07-01,2018,3,602702400000.0
155,belgium,2018-10-01,2018,4,614604200000.0
156,belgium,2019-01-01,2019,1,622812800000.0
157,belgium,2019-04-01,2019,2,634824100000.0
158,belgium,2019-07-01,2019,3,647165300000.0
159,belgium,2019-10-01,2019,4,660159400000.0
160,bulgaria,2000-01-01,2000,1,51002500000.0
161,bulgaria,2000-04-01,2000,2,51932400000.0
162,bulgaria,2000-07-01,2000,3,52671200000.0
163,bulgaria,2000-10-01,2000,4,53389000000.0
164,bulgaria,2001-01-01,2001,1,54066000000.0
165,bulgaria,2001-04-01,2001,2,54979000000.0
166,bulgaria,2001-07-01,2001,3,56056800000.0
167,bulgaria,2001-10-01,2001,4,57290700000.0
168,bulgaria,2002-01-01,2002,1,58859700000.0
169,bulgaria,2002-04-01,2002,2,60347800000.0
170,bulgaria,2002-07-01,2002,3,61718400000.0
171,bulgaria,2002-10-01,2002,4,62769900000.0
172,bulgaria,2003-01-01,2003,1,63876500000.0
173,bulgaria,2003-04-01,2003,2,64626900000.0
174,bulgaria,2003-07-01,2003,3,65568200000.0
175,bulgaria,2003-10-01,2003,4,67094000000.0
176,bulgaria,2004-01-01,2004,1,68129300000.0
177,bulgaria,2004-04-01,2004,2,69924400000.0
178,bulgaria,2004-07-01,2004,3,71818200000.0
179,bulgaria,2004-10-01,2004,4,73546700000.0
180,bulgaria,2005-01-01,2005,1,75885100000.0
181,bulgaria,2005-04-01,2005,2,77680900000.0
182,bulgaria,2005-07-01,2005,3,79431500000.0
183,bulgaria,2005-10-01,2005,4,81319700000.0
184,bulgaria,2006-01-01,2006,1,82903000000.0
185,bulgaria,2006-04-01,2006,2,85061000000.0
186,bulgaria,2006-07-01,2006,3,87534600000.0
187,bulgaria,2006-10-01,2006,4,89592800000.0
188,bulgaria,2007-01-01,2007,1,92116100000.0
189,bulgaria,2007-04-01,2007,2,95160400000.0
190,bulgaria,2007-07-01,2007,3,97508100000.0
191,bulgaria,2007-10-01,2007,4,100790000000.0
192,bulgaria,2008-01-01,2008,1,103628600000.0
193,bulgaria,2008-04-01,2008,2,106123500000.0
194,bulgaria,2008-07-01,2008,3,108735700000.0
195,bulgaria,2008-10-01,2008,4,110091200000.0
196,bulgaria,2009-01-01,2009,1,105339100000.0
197,bulgaria,2009-04-01,2009,2,105415600000.0
198,bulgaria,2009-07-01,2009,3,107202000000.0
199,bulgaria,2009-10-01,2009,4,104342700000.0
200,bulgaria,2010-01-01,2010,1,107114000000.0
201,bulgaria,2010-04-01,2010,2,109628400000.0
202,bulgaria,2010-07-01,2010,3,111211200000.0
203,bulgaria,2010-10-01,2010,4,112866100000.0
204,bulgaria,2011-01-01,2011,1,113470700000.0
205,bulgaria,2011-04-01,2011,2,115567400000.0
206,bulgaria,2011-07-01,2011,3,116813300000.0
207,bulgaria,2011-10-01,2011,4,117523900000.0
208,bulgaria,2012-01-01,2012,1,118862800000.0
209,bulgaria,2012-04-01,2012,2,118713300000.0
210,bulgaria,2012-07-01,2012,3,119144100000.0
211,bulgaria,2012-10-01,2012,4,119358500000.0
212,bulgaria,2013-01-01,2013,1,119412300000.0
213,bulgaria,2013-04-01,2013,2,119788200000.0
214,bulgaria,2013-07-01,2013,3,121407700000.0
215,bulgaria,2013-10-01,2013,4,122711400000.0
216,bulgaria,2014-01-01,2014,1,124782800000.0
217,bulgaria,2014-04-01,2014,2,126709200000.0
218,bulgaria,2014-07-01,2014,3,127330900000.0
219,bulgaria,2014-10-01,2014,4,128425500000.0
220,bulgaria,2015-01-01,2015,1,128982600000.0
221,bulgaria,2015-04-01,2015,2,130153900000.0
222,bulgaria,2015-07-01,2015,3,133073900000.0
223,bulgaria,2015-10-01,2015,4,135126200000.00002
224,bulgaria,2016-01-01,2016,1,137989400000.0
225,bulgaria,2016-04-01,2016,2,142159000000.0
226,bulgaria,2016-07-01,2016,3,144281700000.0
227,bulgaria,2016-10-01,2016,4,147044100000.0
228,bulgaria,2017-01-01,2017,1,148935200000.0
229,bulgaria,2017-04-01,2017,2,150525300000.0
230,bulgaria,2017-07-01,2017,3,152452500000.0
231,bulgaria,2017-10-01,2017,4,154446800000.0
232,bulgaria,2018-01-01,2018,1,156969400000.0
233,bulgaria,2018-04-01,2018,2,159622600000.0
234,bulgaria,2018-07-01,2018,3,162291300000.0
235,bulgaria,2018-10-01,2018,4,166462700000.0
236,bulgaria,2019-01-01,2019,1,169118500000.0
237,bulgaria,2019-04-01,2019,2,173660600000.0
238,bulgaria,2019-07-01,2019,3,177851600000.0
239,bulgaria,2019-10-01,2019,4,182009500000.0
240,croatia,2000-01-01,2000,1,46924400000.0
241,croatia,2000-04-01,2000,2,47189500000.0
242,croatia,2000-07-01,2000,3,48079900000.0
243,croatia,2000-10-01,2000,4,48475800000.0
244,croatia,2001-01-01,2001,1,48955000000.0
245,croatia,2001-04-01,2001,2,49879600000.0
246,croatia,2001-07-01,2001,3,50270400000.0
247,croatia,2001-10-01,2001,4,51261500000.0
248,croatia,2002-01-01,2002,1,53120000000.0
249,croatia,2002-04-01,2002,2,54267000000.0
250,croatia,2002-07-01,2002,3,55715200000.0
251,croatia,2002-10-01,2002,4,56598900000.0
252,croatia,2003-01-01,2003,1,57433600000.0
253,croatia,2003-04-01,2003,2,58482700000.0
254,croatia,2003-07-01,2003,3,59334200000.0
255,croatia,2003-10-01,2003,4,60291000000.0
256,croatia,2004-01-01,2004,1,61893800000.0
257,croatia,2004-04-01,2004,2,62806700000.0
258,croatia,2004-07-01,2004,3,63498900000.0
259,croatia,2004-10-01,2004,4,64583000000.0
260,croatia,2005-01-01,2005,1,63328200000.0
261,croatia,2005-04-01,2005,2,65821500000.0
262,croatia,2005-07-01,2005,3,67388200000.0
263,croatia,2005-10-01,2005,4,69631900000.0
264,croatia,2006-01-01,2006,1,72016700000.0
265,croatia,2006-04-01,2006,2,74845300000.0
266,croatia,2006-07-01,2006,3,77342300000.0
267,croatia,2006-10-01,2006,4,79297800000.0
268,croatia,2007-01-01,2007,1,82043600000.0
269,croatia,2007-04-01,2007,2,83580800000.0
270,croatia,2007-07-01,2007,3,84761500000.0
271,croatia,2007-10-01,2007,4,85770900000.0
272,croatia,2008-01-01,2008,1,89005300000.0
273,croatia,2008-04-01,2008,2,90765000000.0
274,croatia,2008-07-01,2008,3,91200100000.0
275,croatia,2008-10-01,2008,4,89930500000.0
276,croatia,2009-01-01,2009,1,86582200000.0
277,croatia,2009-04-01,2009,2,87459900000.0
278,croatia,2009-07-01,2009,3,86606400000.0
279,croatia,2009-10-01,2009,4,87211300000.0
280,croatia,2010-01-01,2010,1,85785500000.0
281,croatia,2010-04-01,2010,2,84987700000.0
282,croatia,2010-07-01,2010,3,86679000000.0
283,croatia,2010-10-01,2010,4,86645000000.0
284,croatia,2011-01-01,2011,1,87864500000.0
285,croatia,2011-04-01,2011,2,90473800000.0
286,croatia,2011-07-01,2011,3,91306200000.0
287,croatia,2011-10-01,2011,4,91326700000.0
288,croatia,2012-01-01,2012,1,90967100000.0
289,croatia,2012-04-01,2012,2,90929200000.0
290,croatia,2012-07-01,2012,3,92070600000.0
291,croatia,2012-10-01,2012,4,92365000000.0
292,croatia,2013-01-01,2013,1,93835000000.0
293,croatia,2013-04-01,2013,2,94394600000.0
294,croatia,2013-07-01,2013,3,94249100000.0
295,croatia,2013-10-01,2013,4,94392700000.0
296,croatia,2014-01-01,2014,1,94204100000.0
297,croatia,2014-04-01,2014,2,94881100000.0
298,croatia,2014-07-01,2014,3,94720200000.0
299,croatia,2014-10-01,2014,4,95197900000.0
300,croatia,2015-01-01,2015,1,95741700000.0
301,croatia,2015-04-01,2015,2,97405300000.0
302,croatia,2015-07-01,2015,3,99581200000.0
303,croatia,2015-10-01,2015,4,99425500000.0
304,croatia,2016-01-01,2016,1,102661000000.0
305,croatia,2016-04-01,2016,2,104488700000.0
306,croatia,2016-07-01,2016,3,106077300000.0
307,croatia,2016-10-01,2016,4,108428200000.0
308,croatia,2017-01-01,2017,1,110365400000.0
309,croatia,2017-04-01,2017,2,111067400000.0
310,croatia,2017-07-01,2017,3,113061500000.0
311,croatia,2017-10-01,2017,4,114036500000.0
312,croatia,2018-01-01,2018,1,114406900000.0
313,croatia,2018-04-01,2018,2,117702600000.0
314,croatia,2018-07-01,2018,3,119163700000.0
315,croatia,2018-10-01,2018,4,121167000000.0
316,croatia,2019-01-01,2019,1,125186700000.0
317,croatia,2019-04-01,2019,2,127813800000.0
318,croatia,2019-07-01,2019,3,129440500000.0
319,croatia,2019-10-01,2019,4,131240100000.0
320,czech_republic,2000-01-01,2000,1,162390900000.0
321,czech_republic,2000-04-01,2000,2,164823500000.0
322,czech_republic,2000-07-01,2000,3,168262200000.0
323,czech_republic,2000-10-01,2000,4,170973000000.0
324,czech_republic,2001-01-01,2001,1,176095700000.0
325,czech_republic,2001-04-01,2001,2,178956200000.0
326,czech_republic,2001-07-01,2001,3,181662100000.0
327,czech_republic,2001-10-01,2001,4,183769500000.0
328,czech_republic,2002-01-01,2002,1,183202400000.0
329,czech_republic,2002-04-01,2002,2,184917400000.0
330,czech_republic,2002-07-01,2002,3,186783900000.0
331,czech_republic,2002-10-01,2002,4,189440500000.0
332,czech_republic,2003-01-01,2003,1,194084800000.0
333,czech_republic,2003-04-01,2003,2,197785900000.0
334,czech_republic,2003-07-01,2003,3,200951700000.0
335,czech_republic,2003-10-01,2003,4,203736900000.0
336,czech_republic,2004-01-01,2004,1,208142300000.0
337,czech_republic,2004-04-01,2004,2,210940800000.0
338,czech_republic,2004-07-01,2004,3,214419000000.0
339,czech_republic,2004-10-01,2004,4,218769600000.0
340,czech_republic,2005-01-01,2005,1,220776500000.0
341,czech_republic,2005-04-01,2005,2,223103200000.0
342,czech_republic,2005-07-01,2005,3,226257400000.0
343,czech_republic,2005-10-01,2005,4,231512500000.0
344,czech_republic,2006-01-01,2006,1,236192800000.0
345,czech_republic,2006-04-01,2006,2,242535300000.0
346,czech_republic,2006-07-01,2006,3,248107200000.0
347,czech_republic,2006-10-01,2006,4,253464700000.0
348,czech_republic,2007-01-01,2007,1,262541200000.0
349,czech_republic,2007-04-01,2007,2,267222000000.0
350,czech_republic,2007-07-01,2007,3,274117800000.0
351,czech_republic,2007-10-01,2007,4,279611600000.0
352,czech_republic,2008-01-01,2008,1,283618400000.0
353,czech_republic,2008-04-01,2008,2,289455400000.0
354,czech_republic,2008-07-01,2008,3,295267300000.0
355,czech_republic,2008-10-01,2008,4,292673600000.0
356,czech_republic,2009-01-01,2009,1,289450500000.0
357,czech_republic,2009-04-01,2009,2,289575700000.0
358,czech_republic,2009-07-01,2009,3,290724600000.0
359,czech_republic,2009-10-01,2009,4,290462600000.0
360,czech_republic,2010-01-01,2010,1,288413500000.0
361,czech_republic,2010-04-01,2010,2,290939400000.0
362,czech_republic,2010-07-01,2010,3,292589800000.0
363,czech_republic,2010-10-01,2010,4,295094500000.0
364,czech_republic,2011-01-01,2011,1,299922700000.0
365,czech_republic,2011-04-01,2011,2,304115700000.0
366,czech_republic,2011-07-01,2011,3,305979300000.0
367,czech_republic,2011-10-01,2011,4,306463800000.0
368,czech_republic,2012-01-01,2012,1,305945400000.0
369,czech_republic,2012-04-01,2012,2,305559000000.0
370,czech_republic,2012-07-01,2012,3,307221200000.0
371,czech_republic,2012-10-01,2012,4,310958800000.0
372,czech_republic,2013-01-01,2013,1,314800700000.0
373,czech_republic,2013-04-01,2013,2,320441900000.0
374,czech_republic,2013-07-01,2013,3,326223000000.0
375,czech_republic,2013-10-01,2013,4,334582200000.0
376,czech_republic,2014-01-01,2014,1,335467300000.0
377,czech_republic,2014-04-01,2014,2,340575600000.0
378,czech_republic,2014-07-01,2014,3,344894600000.0
379,czech_republic,2014-10-01,2014,4,347040600000.0
380,czech_republic,2015-01-01,2015,1,350051400000.0
381,czech_republic,2015-04-01,2015,2,354805900000.0
382,czech_republic,2015-07-01,2015,3,360563700000.0
383,czech_republic,2015-10-01,2015,4,365271000000.0
384,czech_republic,2016-01-01,2016,1,371374800000.0
385,czech_republic,2016-04-01,2016,2,378259600000.0
386,czech_republic,2016-07-01,2016,3,385025500000.0
387,czech_republic,2016-10-01,2016,4,390746500000.0
388,czech_republic,2017-01-01,2017,1,398991500000.0
389,czech_republic,2017-04-01,2017,2,410292000000.0
390,czech_republic,2017-07-01,2017,3,415925800000.0
391,czech_republic,2017-10-01,2017,4,422030500000.0
392,czech_republic,2018-01-01,2018,1,427346800000.0
393,czech_republic,2018-04-01,2018,2,434289500000.0
394,czech_republic,2018-07-01,2018,3,440943100000.0
395,czech_republic,2018-10-01,2018,4,448794900000.0
396,czech_republic,2019-01-01,2019,1,459660100000.0
397,czech_republic,2019-04-01,2019,2,468634900000.0
398,czech_republic,2019-07-01,2019,3,476636800000.0
399,czech_republic,2019-10-01,2019,4,483383000000.0
400,france,2000-01-01,2000,1,1545193600000.0
401,france,2000-04-01,2000,2,1578985100000.0
402,france,2000-07-01,2000,3,1609709500000.0
403,france,2000-10-01,2000,4,1633185300000.0
404,france,2001-01-01,2001,1,1657609600000.0
405,france,2001-04-01,2001,2,1676723500000.0
406,france,2001-07-01,2001,3,1702967700000.0
407,france,2001-10-01,2001,4,1716129400000.0
408,france,2002-01-01,2002,1,1744449500000.0
409,france,2002-04-01,2002,2,1764406500000.0
410,france,2002-07-01,2002,3,1777278000000.0
411,france,2002-10-01,2002,4,1773460000000.0
412,france,2003-01-01,2003,1,1759910400000.0
413,france,2003-04-01,2003,2,1743344900000.0
414,france,2003-07-01,2003,3,1756658500000.0
415,france,2003-10-01,2003,4,1764381100000.0
416,france,2004-01-01,2004,1,1788768000000.0
417,france,2004-04-01,2004,2,1807731600000.0
418,france,2004-07-01,2004,3,1826027800000.0
419,france,2004-10-01,2004,4,1854898800000.0
420,france,2005-01-01,2005,1,1879445600000.0
421,france,2005-04-01,2005,2,1904254700000.0
422,france,2005-07-01,2005,3,1941560500000.0
423,france,2005-10-01,2005,4,1976673200000.0
424,france,2006-01-01,2006,1,2015360800000.0
425,france,2006-04-01,2006,2,2061779700000.0
426,france,2006-07-01,2006,3,2085675100000.0
427,france,2006-10-01,2006,4,2109007200000.0002
428,france,2007-01-01,2007,1,2147681600000.0
429,france,2007-04-01,2007,2,2176816200000.0002
430,france,2007-07-01,2007,3,2202026500000.0
431,france,2007-10-01,2007,4,2218302300000.0
432,france,2008-01-01,2008,1,2248106500000.0
433,france,2008-04-01,2008,2,2253417900000.0
434,france,2008-07-01,2008,3,2274592900000.0
435,france,2008-10-01,2008,4,2258065700000.0
436,france,2009-01-01,2009,1,2229011200000.0
437,france,2009-04-01,2009,2,2233782900000.0
438,france,2009-07-01,2009,3,2243582000000.0
439,france,2009-10-01,2009,4,2274000900000.0
440,france,2010-01-01,2010,1,2290736600000.0
441,france,2010-04-01,2010,2,2318921200000.0
442,france,2010-07-01,2010,3,2345415400000.0
443,france,2010-10-01,2010,4,2375459000000.0
444,france,2011-01-01,2011,1,2424654200000.0
445,france,2011-04-01,2011,2,2439152200000.0
446,france,2011-07-01,2011,3,2459698800000.0
447,france,2011-10-01,2011,4,2456970800000.0
448,france,2012-01-01,2012,1,2451692700000.0
449,france,2012-04-01,2012,2,2453668800000.0
450,france,2012-07-01,2012,3,2481411000000.0
451,france,2012-10-01,2012,4,2509452500000.0
452,france,2013-01-01,2013,1,2555983200000.0
453,france,2013-04-01,2013,2,2606153200000.0
454,france,2013-07-01,2013,3,2627273200000.0
455,france,2013-10-01,2013,4,2657724400000.0
456,france,2014-01-01,2014,1,2652569300000.0
457,france,2014-04-01,2014,2,2658879800000.0
458,france,2014-07-01,2014,3,2676541800000.0
459,france,2014-10-01,2014,4,2672236400000.0
460,france,2015-01-01,2015,1,2681541100000.0
461,france,2015-04-01,2015,2,2703645400000.0
462,france,2015-07-01,2015,3,2733306300000.0
463,france,2015-10-01,2015,4,2762073400000.0
464,france,2016-01-01,2016,1,2813107000000.0
465,france,2016-04-01,2016,2,2845226200000.0
466,france,2016-07-01,2016,3,2878707300000.0
467,france,2016-10-01,2016,4,2914736500000.0
468,france,2017-01-01,2017,1,2939680500000.0
469,france,2017-04-01,2017,2,2966368100000.0
470,france,2017-07-01,2017,3,3002129100000.0
471,france,2017-10-01,2017,4,3036465400000.0
472,france,2018-01-01,2018,1,3051827900000.0
473,france,2018-04-01,2018,2,3098995500000.0
474,france,2018-07-01,2018,3,3146239900000.0
475,france,2018-10-01,2018,4,3214779400000.0
476,france,2019-01-01,2019,1,3301500100000.0
477,france,2019-04-01,2019,2,3389233800000.0
478,france,2019-07-01,2019,3,3451705500000.0
479,france,2019-10-01,2019,4,3489149200000.0
480,germany,2000-01-01,2000,1,2215883800000.0
481,germany,2000-04-01,2000,2,2237133100000.0
482,germany,2000-07-01,2000,3,2244283300000.0
483,germany,2000-10-01,2000,4,2249199300000.0
484,germany,2001-01-01,2001,1,2315048200000.0
485,germany,2001-04-01,2001,2,2333671900000.0
486,germany,2001-07-01,2001,3,2346872500000.0
487,germany,2001-10-01,2001,4,2363083000000.0
488,germany,2002-01-01,2002,1,2369655900000.0
489,germany,2002-04-01,2002,2,2397191600000.0
490,germany,2002-07-01,2002,3,2429690900000.0
491,germany,2002-10-01,2002,4,2447549000000.0
492,germany,2003-01-01,2003,1,2429818200000.0
493,germany,2003-04-01,2003,2,2448153600000.0
494,germany,2003-07-01,2003,3,2490112700000.0
495,germany,2003-10-01,2003,4,2522550800000.0
496,germany,2004-01-01,2004,1,2548182900000.0
497,germany,2004-04-01,2004,2,2584613200000.0
498,germany,2004-07-01,2004,3,2588240900000.0
499,germany,2004-10-01,2004,4,2588051900000.0
500,germany,2005-01-01,2005,1,2581383000000.0
501,germany,2005-04-01,2005,2,2595590500000.0
502,germany,2005-07-01,2005,3,2631447500000.0
503,germany,2005-10-01,2005,4,2665015700000.0
504,germany,2006-01-01,2006,1,2718726400000.0
505,germany,2006-04-01,2006,2,2797607600000.0
506,germany,2006-07-01,2006,3,2843551000000.0
507,germany,2006-10-01,2006,4,2900350000000.0
508,germany,2007-01-01,2007,1,2929720800000.0
509,germany,2007-04-01,2007,2,2974919200000.0
510,germany,2007-07-01,2007,3,3008654800000.0
511,germany,2007-10-01,2007,4,3045556400000.0
512,germany,2008-01-01,2008,1,3081501900000.0
513,germany,2008-04-01,2008,2,3100456700000.0
514,germany,2008-07-01,2008,3,3119177200000.0
515,germany,2008-10-01,2008,4,3097934100000.0
516,germany,2009-01-01,2009,1,2977018300000.0
517,germany,2009-04-01,2009,2,2994094300000.0
518,germany,2009-07-01,2009,3,3023533400000.0
519,germany,2009-10-01,2009,4,3056841200000.0
520,germany,2010-01-01,2010,1,3082717800000.0
521,germany,2010-04-01,2010,2,3165076600000.0
522,germany,2010-07-01,2010,3,3205702400000.0
523,germany,2010-10-01,2010,4,3261210000000.0
524,germany,2011-01-01,2011,1,3358853900000.0
525,germany,2011-04-01,2011,2,3394686400000.0
526,germany,2011-07-01,2011,3,3449038300000.0
527,germany,2011-10-01,2011,4,3438243700000.0
528,germany,2012-01-01,2012,1,3454179500000.0
529,germany,2012-04-01,2012,2,3472224600000.0
530,germany,2012-07-01,2012,3,3506020800000.0
531,germany,2012-10-01,2012,4,3522987100000.0
532,germany,2013-01-01,2013,1,3544960800000.0
533,germany,2013-04-01,2013,2,3613563200000.0
534,germany,2013-07-01,2013,3,3667763900000.0
535,germany,2013-10-01,2013,4,3713329700000.0
536,germany,2014-01-01,2014,1,3774040600000.0
537,germany,2014-04-01,2014,2,3797266200000.0
538,germany,2014-07-01,2014,3,3827914600000.0
539,germany,2014-10-01,2014,4,3852655200000.0
540,germany,2015-01-01,2015,1,3812029900000.0
541,germany,2015-04-01,2015,2,3860250200000.0
542,germany,2015-07-01,2015,3,3907810900000.0
543,germany,2015-10-01,2015,4,3963084500000.0
544,germany,2016-01-01,2016,1,4052540000000.0
545,germany,2016-04-01,2016,2,4144429000000.0
546,germany,2016-07-01,2016,3,4194788700000.0
547,germany,2016-10-01,2016,4,4242802900000.0005
548,germany,2017-01-01,2017,1,4308932099999.9995
549,germany,2017-04-01,2017,2,4355779500000.0
550,germany,2017-07-01,2017,3,4412246300000.0
551,germany,2017-10-01,2017,4,4491271600000.0
