,country,date,year,quarter,trade
232,bulgaria,2018-01-01,2018,1,-235366666.66666666
233,bulgaria,2018-04-01,2018,2,-249633333.33333334
234,bulgaria,2018-07-01,2018,3,-302266666.6666667
235,bulgaria,2018-10-01,2018,4,-270700000.0
236,bulgaria,2019-01-01,2019,1,-326333333.3333333
237,bulgaria,2019-04-01,2019,2,-294366666.6666667
238,bulgaria,2019-07-01,2019,3,-259033333.33333334
239,bulgaria,2019-10-01,2019,4,-276566666.6666667
240,croatia,2000-01-01,2000,1,-195700000.0
241,croatia,2000-04-01,2000,2,-195700000.0
242,croatia,2000-07-01,2000,3,-195700000.0
243,croatia,2000-10-01,2000,4,-195700000.0
244,croatia,2001-01-01,2001,1,-195700000.0
245,croatia,2001-04-01,2001,2,-195700000.0
246,croatia,2001-07-01,2001,3,-195700000.0
247,croatia,2001-10-01,2001,4,-195700000.0
248,croatia,2002-01-01,2002,1,-200100000.0
249,croatia,2002-04-01,2002,2,-193533333.33333334
250,croatia,2002-07-01,2002,3,-198600000.0
251,croatia,2002-10-01,2002,4,-232533333.33333334
252,croatia,2003-01-01,2003,1,-207666666.66666666
253,croatia,2003-04-01,2003,2,-238600000.0
254,croatia,2003-07-01,2003,3,-249966666.66666666
255,croatia,2003-10-01,2003,4,-269266666.6666667
256,croatia,2004-01-01,2004,1,-210700000.0
257,croatia,2004-04-01,2004,2,-254300000.0
258,croatia,2004-07-01,2004,3,-240500000.0
259,croatia,2004-10-01,2004,4,-276666666.6666667
260,croatia,2005-01-01,2005,1,-292733333.3333333
261,croatia,2005-04-01,2005,2,-314200000.0
262,croatia,2005-07-01,2005,3,-283400000.0
263,croatia,2005-10-01,2005,4,-336000000.0
264,croatia,2006-01-01,2006,1,-385933333.3333333
265,croatia,2006-04-01,2006,2,-337433333.3333333
266,croatia,2006-07-01,2006,3,-317000000.0
267,croatia,2006-10-01,2006,4,-342566666.6666667
268,croatia,2007-01-01,2007,1,-368400000.0
269,croatia,2007-04-01,2007,2,-356100000.0
270,croatia,2007-07-01,2007,3,-327133333.3333333
271,croatia,2007-10-01,2007,4,-472733333.3333333
272,croatia,2008-01-01,2008,1,-511566666.6666667
273,croatia,2008-04-01,2008,2,-436333333.3333333
274,croatia,2008-07-01,2008,3,-436066666.6666667
275,croatia,2008-10-01,2008,4,-422500000.0
276,croatia,2009-01-01,2009,1,-358933333.3333333
277,croatia,2009-04-01,2009,2,-299033333.3333333
278,croatia,2009-07-01,2009,3,-302533333.3333333
279,croatia,2009-10-01,2009,4,-334500000.0
280,croatia,2010-01-01,2010,1,-302433333.3333333
281,croatia,2010-04-01,2010,2,-288300000.0
282,croatia,2010-07-01,2010,3,-332566666.6666667
283,croatia,2010-10-01,2010,4,-267700000.0
284,croatia,2011-01-01,2011,1,-342200000.0
285,croatia,2011-04-01,2011,2,-267966666.66666666
286,croatia,2011-07-01,2011,3,-268200000.0
287,croatia,2011-10-01,2011,4,-271833333.3333333
288,croatia,2012-01-01,2012,1,-261800000.0
289,croatia,2012-04-01,2012,2,-242766666.66666666
290,croatia,2012-07-01,2012,3,-269266666.6666667
291,croatia,2012-10-01,2012,4,-269233333.3333333
292,croatia,2013-01-01,2013,1,-345800000.0
293,croatia,2013-04-01,2013,2,-408900000.0
294,croatia,2013-07-01,2013,3,-189900000.0
295,croatia,2013-10-01,2013,4,-135266666.66666666
296,croatia,2014-01-01,2014,1,-164766666.66666666
297,croatia,2014-04-01,2014,2,-197400000.0
298,croatia,2014-07-01,2014,3,-148600000.0
299,croatia,2014-10-01,2014,4,-99666666.66666667
300,croatia,2015-01-01,2015,1,-121700000.0
301,croatia,2015-04-01,2015,2,-171566666.66666666
302,croatia,2015-07-01,2015,3,-174300000.0
303,croatia,2015-10-01,2015,4,-165600000.0
304,croatia,2016-01-01,2016,1,-139766666.66666666
305,croatia,2016-04-01,2016,2,-161033333.33333334
306,croatia,2016-07-01,2016,3,-185800000.0
307,croatia,2016-10-01,2016,4,-240833333.33333334
308,croatia,2017-01-01,2017,1,-120866666.66666667
309,croatia,2017-04-01,2017,2,-206500000.0
310,croatia,2017-07-01,2017,3,-208666666.66666666
311,croatia,2017-10-01,2017,4,-174300000.0
312,croatia,2018-01-01,2018,1,-237933333.33333334
313,croatia,2018-04-01,2018,2,-210133333.33333334
314,croatia,2018-07-01,2018,3,-293533333.3333333
315,croatia,2018-10-01,2018,4,-329166666.6666667
316,croatia,2019-01-01,2019,1,-241600000.0
317,croatia,2019-04-01,2019,2,-232733333.33333334
318,croatia,2019-07-01,2019,3,-229366666.66666666
319,croatia,2019-10-01,2019,4,-268566666.6666667
320,czech_republic,2000-01-01,2000,1,-292600000.0
321,czech_republic,2000-04-01,2000,2,-296633333.3333333
322,czech_republic,2000-07-01,2000,3,-337000000.0
323,czech_republic,2000-10-01,2000,4,-349100000.0
324,czech_republic,2001-01-01,2001,1,-371500000.0
325,czech_republic,2001-04-01,2001,2,-332833333.3333333
326,czech_republic,2001-07-01,2001,3,-389633333.3333333
327,czech_republic,2001-10-01,2001,4,-423500000.0
328,czech_republic,2002-01-01,2002,1,-351233333.3333333
329,czech_republic,2002-04-01,2002,2,-391433333.3333333
330,czech_republic,2002-07-01,2002,3,-383333333.3333333
331,czech_republic,2002-10-01,2002,4,-394866666.6666667
332,czech_republic,2003-01-01,2003,1,-503866666.6666667
333,czech_republic,2003-04-01,2003,2,-514800000.0
334,czech_republic,2003-07-01,2003,3,-492033333.3333333
335,czech_republic,2003-10-01,2003,4,-572200000.0
336,czech_republic,2004-01-01,2004,1,-537633333.3333334
337,czech_republic,2004-04-01,2004,2,-261200000.0
338,czech_republic,2004-07-01,2004,3,-27066666.666666668
339,czech_republic,2004-10-01,2004,4,-10066666.666666666
340,czech_republic,2005-01-01,2005,1,5300000.0
341,czech_republic,2005-04-01,2005,2,-36833333.333333336
342,czech_republic,2005-07-01,2005,3,-69133333.33333333
343,czech_republic,2005-10-01,2005,4,-6600000.0
344,czech_republic,2006-01-01,2006,1,-68966666.66666667
345,czech_republic,2006-04-01,2006,2,-120033333.33333333
346,czech_republic,2006-07-01,2006,3,-127733333.33333333
347,czech_republic,2006-10-01,2006,4,3033333.3333333335
348,czech_republic,2007-01-01,2007,1,2066666.6666666667
349,czech_republic,2007-04-01,2007,2,-32666666.666666668
350,czech_republic,2007-07-01,2007,3,-31233333.333333332
351,czech_republic,2007-10-01,2007,4,-11266666.666666666
352,czech_republic,2008-01-01,2008,1,-95000000.0
353,czech_republic,2008-04-01,2008,2,-192900000.0
354,czech_republic,2008-07-01,2008,3,-228700000.0
355,czech_republic,2008-10-01,2008,4,-441966666.6666667
356,czech_republic,2009-01-01,2009,1,-289466666.6666667
357,czech_republic,2009-04-01,2009,2,-20566666.666666668
358,czech_republic,2009-07-01,2009,3,3466666.666666666
359,czech_republic,2009-10-01,2009,4,-135466666.66666666
360,czech_republic,2010-01-01,2010,1,-237566666.66666666
361,czech_republic,2010-04-01,2010,2,-396500000.0
362,czech_republic,2010-07-01,2010,3,-432633333.3333333
363,czech_republic,2010-10-01,2010,4,-390400000.0
364,czech_republic,2011-01-01,2011,1,-348633333.3333333
365,czech_republic,2011-04-01,2011,2,-493800000.0
366,czech_republic,2011-07-01,2011,3,-432933333.3333333
367,czech_republic,2011-10-01,2011,4,-110600000.0
368,czech_republic,2012-01-01,2012,1,-19700000.0
369,czech_republic,2012-04-01,2012,2,-160233333.33333334
370,czech_republic,2012-07-01,2012,3,95033333.33333333
371,czech_republic,2012-10-01,2012,4,55533333.333333336
372,czech_republic,2013-01-01,2013,1,163333333.33333334
373,czech_republic,2013-04-01,2013,2,210200000.0
374,czech_republic,2013-07-01,2013,3,184966666.66666666
375,czech_republic,2013-10-01,2013,4,83733333.33333333
376,czech_republic,2014-01-01,2014,1,236566666.66666666
377,czech_republic,2014-04-01,2014,2,144166666.66666666
378,czech_republic,2014-07-01,2014,3,136500000.0
379,czech_republic,2014-10-01,2014,4,178833333.33333334
380,czech_republic,2015-01-01,2015,1,-7366666.666666669
381,czech_republic,2015-04-01,2015,2,52599999.99999999
382,czech_republic,2015-07-01,2015,3,-115900000.0
383,czech_republic,2015-10-01,2015,4,-160133333.33333334
384,czech_republic,2016-01-01,2016,1,-132366666.66666667
385,czech_republic,2016-04-01,2016,2,11533333.333333334
386,czech_republic,2016-07-01,2016,3,53133333.333333336
387,czech_republic,2016-10-01,2016,4,1233333.3333333333
388,czech_republic,2017-01-01,2017,1,-70200000.0
389,czech_republic,2017-04-01,2017,2,-164733333.33333334
390,czech_republic,2017-07-01,2017,3,-210466666.66666666
391,czech_republic,2017-10-01,2017,4,-122900000.0
392,czech_republic,2018-01-01,2018,1,-175900000.0
393,czech_republic,2018-04-01,2018,2,-474000000.0
394,czech_republic,2018-07-01,2018,3,-661433333.3333334
395,czech_republic,2018-10-01,2018,4,-490100000.0
396,czech_republic,2019-01-01,2019,1,-405900000.0
397,czech_republic,2019-04-01,2019,2,-357233333.3333333
398,czech_republic,2019-07-01,2019,3,-330033333.3333333
399,czech_republic,2019-10-01,2019,4,-194266666.66666666
400,france,2000-01-01,2000,1,1071933333.3333334
401,france,2000-04-01,2000,2,1124033333.3333333
402,france,2000-07-01,2000,3,930133333.3333334
403,france,2000-10-01,2000,4,587900000.0
404,france,2001-01-01,2001,1,1152966666.6666667
405,france,2001-04-01,2001,2,1327400000.0
406,france,2001-07-01,2001,3,2073500000.0
407,france,2001-10-01,2001,4,2121200000.0
408,france,2002-01-01,2002,1,1624766666.6666667
409,france,2002-04-01,2002,2,2151833333.3333335
410,france,2002-07-01,2002,3,2582866666.6666665
411,france,2002-10-01,2002,4,1745300000.0
412,france,2003-01-01,2003,1,1328233333.3333333
413,france,2003-04-01,2003,2,1448400000.0
414,france,2003-07-01,2003,3,1923466666.6666667
415,france,2003-10-01,2003,4,2335233333.3333335
416,france,2004-01-01,2004,1,1819000000.0
417,france,2004-04-01,2004,2,1730266666.6666667
418,france,2004-07-01,2004,3,1498533333.3333333
419,france,2004-10-01,2004,4,903866666.6666666
420,france,2005-01-01,2005,1,1101600000.0
421,france,2005-04-01,2005,2,1506066666.6666667
422,france,2005-07-01,2005,3,577033333.3333334
423,france,2005-10-01,2005,4,484633333.3333333
424,france,2006-01-01,2006,1,708500000.0
425,france,2006-04-01,2006,2,459433333.3333333
426,france,2006-07-01,2006,3,527600000.0
427,france,2006-10-01,2006,4,953700000.0
428,france,2007-01-01,2007,1,1092233333.3333333
429,france,2007-04-01,2007,2,669166666.6666666
430,france,2007-07-01,2007,3,456000000.0
431,france,2007-10-01,2007,4,119533333.33333333
432,france,2008-01-01,2008,1,692133333.3333334
433,france,2008-04-01,2008,2,-292466666.6666667
434,france,2008-07-01,2008,3,-813633333.3333334
435,france,2008-10-01,2008,4,839266666.6666666
436,france,2009-01-01,2009,1,555100000.0
437,france,2009-04-01,2009,2,595666666.6666666
438,france,2009-07-01,2009,3,971033333.3333334
439,france,2009-10-01,2009,4,116066666.66666667
440,france,2010-01-01,2010,1,904166666.6666666
441,france,2010-04-01,2010,2,541033333.3333334
442,france,2010-07-01,2010,3,-242200000.0
443,france,2010-10-01,2010,4,532333333.3333333
444,france,2011-01-01,2011,1,-628600000.0
445,france,2011-04-01,2011,2,-950166666.6666666
446,france,2011-07-01,2011,3,-690566666.6666666
447,france,2011-10-01,2011,4,324733333.3333333
448,france,2012-01-01,2012,1,635900000.0
449,france,2012-04-01,2012,2,105399999.99999996
450,france,2012-07-01,2012,3,881733333.3333334
451,france,2012-10-01,2012,4,1160333333.3333333
452,france,2013-01-01,2013,1,1167366666.6666667
453,france,2013-04-01,2013,2,788500000.0
454,france,2013-07-01,2013,3,626666666.6666666
455,france,2013-10-01,2013,4,1076233333.3333333
456,france,2014-01-01,2014,1,1121866666.6666667
457,france,2014-04-01,2014,2,1097666666.6666667
458,france,2014-07-01,2014,3,734533333.3333334
459,france,2014-10-01,2014,4,2371400000.0
460,france,2015-01-01,2015,1,2413000000.0
461,france,2015-04-01,2015,2,2989600000.0
462,france,2015-07-01,2015,3,2815100000.0
463,france,2015-10-01,2015,4,2483000000.0
464,france,2016-01-01,2016,1,2571266666.6666665
465,france,2016-04-01,2016,2,3049200000.0
466,france,2016-07-01,2016,3,1901400000.0
467,france,2016-10-01,2016,4,2358066666.6666665
468,france,2017-01-01,2017,1,1590066666.6666667
469,france,2017-04-01,2017,2,2638900000.0
470,france,2017-07-01,2017,3,2690766666.6666665
471,france,2017-10-01,2017,4,2396466666.6666665
472,france,2018-01-01,2018,1,1975633333.3333333
473,france,2018-04-01,2018,2,1612266666.6666667
474,france,2018-07-01,2018,3,2013700000.0
475,france,2018-10-01,2018,4,2482933333.3333335
476,france,2019-01-01,2019,1,2052500000.0
477,france,2019-04-01,2019,2,2534733333.3333335
478,france,2019-07-01,2019,3,2134166666.6666667
479,france,2019-10-01,2019,4,2418966666.6666665
480,germany,2000-01-01,2000,1,2262100000.0
481,germany,2000-04-01,2000,2,2705600000.0
482,germany,2000-07-01,2000,3,2144566666.6666667
483,germany,2000-10-01,2000,4,2866233333.3333335
484,germany,2001-01-01,2001,1,3815233333.3333335
485,germany,2001-04-01,2001,2,4864966666.666667
486,germany,2001-07-01,2001,3,5576133333.333333
487,germany,2001-10-01,2001,4,6101166666.666667
488,germany,2002-01-01,2002,1,7306933333.333333
489,germany,2002-04-01,2002,2,6656500000.0
490,germany,2002-07-01,2002,3,7816066666.666667
491,germany,2002-10-01,2002,4,7452366666.666667
492,germany,2003-01-01,2003,1,6028633333.333333
493,germany,2003-04-01,2003,2,6445866666.666667
494,germany,2003-07-01,2003,3,8061633333.333333
495,germany,2003-10-01,2003,4,6500666666.666667
496,germany,2004-01-01,2004,1,8656400000.0
497,germany,2004-04-01,2004,2,8855000000.0
498,germany,2004-07-01,2004,3,7169233333.333333
499,germany,2004-10-01,2004,4,6758200000.0
500,germany,2005-01-01,2005,1,8670933333.333334
501,germany,2005-04-01,2005,2,7189833333.333333
502,germany,2005-07-01,2005,3,7706800000.0
503,germany,2005-10-01,2005,4,6156233333.333333
504,germany,2006-01-01,2006,1,6945866666.666667
505,germany,2006-04-01,2006,2,6339033333.333333
506,germany,2006-07-01,2006,3,8162266666.666667
507,germany,2006-10-01,2006,4,11069833333.333334
508,germany,2007-01-01,2007,1,8742233333.333334
509,germany,2007-04-01,2007,2,9393900000.0
510,germany,2007-07-01,2007,3,10755766666.666666
511,germany,2007-10-01,2007,4,10422633333.333334
512,germany,2008-01-01,2008,1,10870133333.333334
513,germany,2008-04-01,2008,2,10301500000.0
514,germany,2008-07-01,2008,3,8814266666.666666
515,germany,2008-10-01,2008,4,7818366666.666667
516,germany,2009-01-01,2009,1,6322133333.333333
517,germany,2009-04-01,2009,2,7382833333.333333
518,germany,2009-07-01,2009,3,8212433333.333333
519,germany,2009-10-01,2009,4,9816566666.666666
520,germany,2010-01-01,2010,1,8858733333.333334
521,germany,2010-04-01,2010,2,8662266666.666666
522,germany,2010-07-01,2010,3,9917066666.666666
523,germany,2010-10-01,2010,4,10240400000.0
524,germany,2011-01-01,2011,1,10460033333.333334
525,germany,2011-04-01,2011,2,10354200000.0
526,germany,2011-07-01,2011,3,10543600000.0
527,germany,2011-10-01,2011,4,11613133333.333334
528,germany,2012-01-01,2012,1,13890033333.333334
529,germany,2012-04-01,2012,2,14940833333.333334
530,germany,2012-07-01,2012,3,16191566666.666666
531,germany,2012-10-01,2012,4,15029233333.333334
532,germany,2013-01-01,2013,1,15577166666.666666
533,germany,2013-04-01,2013,2,16055266666.666666
534,germany,2013-07-01,2013,3,15539633333.333334
