country,date,year,quarter,co2,gdp,ind_prod,infl,unempl,pop,brent,co2_cap
italy,2014-07-01,2014,3,-0.05264433821921699,0.0013806750300000001,-0.007333333333333333,-0.003,0.001333333333333353,-99999.0,-0.07451008183221486,-0.05255646992875462
italy,2014-10-01,2014,4,-0.026148515672701933,-0.0035990453100000004,0.003333333333333334,0.0016666666666666666,0.0010000000000000009,-99999.0,-0.28721296021080445,-0.025546723707113195
italy,2015-01-01,2015,1,0.03109322377911994,0.00354522324,0.002,-0.0010000000000000007,-0.003333333333333355,-99999.0,-0.34858668052526465,0.03208146282103286
italy,2015-04-01,2015,2,0.0016236773751749922,0.00383500884,0.002,0.003000000000000001,-0.0026666666666666644,-99999.0,0.13473623065778906,0.0029606203213177196
italy,2015-07-01,2015,3,0.06624837570333852,0.0017510073800000002,-0.0009999999999999998,-0.0036666666666666657,-0.00633333333333333,-99999.0,-0.20549705840634935,0.0679425924588557
italy,2015-10-01,2015,4,0.025944137797093703,0.005163849769999999,-0.0033333333333333335,0.0013333333333333322,0.0003333333333333244,-99999.0,-0.14230997683498892,0.027969347359703356
italy,2016-01-01,2016,1,-0.030354761379591366,0.00377990299,0.005666666666666668,-0.001666666666666667,0.0,-99999.0,-0.2569699196314943,-0.028219087183046554
italy,2016-04-01,2016,2,-0.03349896872336089,0.00160116386,-0.003666666666666667,0.004,0.00033333333333333826,-99999.0,0.3008260945243668,-0.03151348123221975
italy,2016-07-01,2016,3,-0.04132068677704481,0.005300861620000001,0.008333333333333333,-0.002666666666666667,-0.00033333333333333826,-99999.0,0.0057679128988867845,-0.0395054723925643
italy,2016-10-01,2016,4,0.045424545536128846,0.0030678363600000003,0.010666666666666666,0.001666666666666667,0.0016666666666666774,-99999.0,0.07162965613925465,0.047095939892737526
italy,2017-01-01,2017,1,0.021251267929123685,0.0051818460099999995,-0.003999999999999999,-4.336808689942018e-19,-0.0020000000000000018,-99999.0,0.08741790860306153,0.022893488839930143
italy,2017-04-01,2017,2,0.008647992187789555,0.0043046338899999995,0.006000000000000001,0.0003333333333333339,-0.003666666666666679,-99999.0,-0.07763936354416767,0.010430810194204554
italy,2017-07-01,2017,3,-0.038313147589907004,0.00438108742,-0.0013333333333333322,-0.0016666666666666657,0.00033333333333333826,-99999.0,0.04795573980186418,-0.03635627639286643
italy,2017-10-01,2017,4,-0.014511211502085786,0.0053751721399999996,0.018,0.0003333333333333322,-0.002999999999999989,-99999.0,0.1661679918312755,-0.012375081615628503
italy,2018-01-01,2018,1,-0.020387441794643024,-0.00107547494,-0.010333333333333333,0.0006666666666666665,-0.0010000000000000009,-99999.0,0.08227801520967404,-0.0181201771106263
italy,2018-04-01,2018,2,-0.011861871778300781,0.00044690859,-0.0006666666666666664,0.002333333333333334,-0.0010000000000000009,-99999.0,0.10899624942344133,-0.00964181143693299
italy,2018-07-01,2018,3,-0.012942011312038204,0.00126191204,-0.00033333333333333365,-0.003,-0.005666666666666667,-99999.0,0.009662341130194818,-0.010889431183271014
italy,2018-10-01,2018,4,-0.018852301712968256,0.0029191290100000003,-0.005333333333333333,-0.0010000000000000002,0.0026666666666666644,-99999.0,-0.10517835867246372,-0.017044192780613976
italy,2019-01-01,2019,1,-0.02995786364599695,0.00180210713,0.0009999999999999998,0.0016666666666666666,-0.0013333333333333253,-99999.0,-0.06945360293263647,-0.028028310912246113
italy,2019-04-01,2019,2,-0.01109991715851777,0.0023044636299999997,0.001333333333333333,0.0013333333333333337,-0.00399999999999999,-99999.0,0.0871652708339603,-0.008647290307231437
italy,2019-07-01,2019,3,0.003015378327283713,0.00059377981,-0.0033333333333333335,-0.003666666666666668,-0.0036666666666666653,-99999.0,-0.10699006079459927,0.005705121295486393
italy,2019-10-01,2019,4,-0.027077979045945,-0.00803134367,-0.010666666666666666,0.0016666666666666679,0.0006666666666666488,-99999.0,0.023616862761970836,-0.0242415344617255
