country,date,year,month,co2,gdp,pop
ireland,2013-10-01,2013,10,-0.22431632212934716,-0.00785445407429819,-99999.0
ireland,2013-11-01,2013,11,-0.16364822441054372,0.0038550662280769643,-99999.0
ireland,2013-12-01,2013,12,-0.07620039286219438,0.015439106610593,-99999.0
ireland,2014-01-01,2014,1,-0.021880648890856946,0.026899967105403988,-99999.0
ireland,2014-02-01,2014,2,-0.06524432517857548,0.032060004480282345,-99999.0
ireland,2014-03-01,2014,3,-0.25199353839285266,0.037140202039491754,-99999.0
ireland,2014-04-01,2014,4,-0.04588500933190787,0.04214245854075216,-99999.0
ireland,2014-05-01,2014,5,0.09536533611030862,0.032446121180214504,-99999.0
ireland,2014-06-01,2014,6,0.10021067669832107,0.02282067612296146,-99999.0
ireland,2014-07-01,2014,7,0.12557164799337528,0.013264908823057198,-99999.0
ireland,2014-08-01,2014,8,0.09779085899271323,0.035592986018052386,-99999.0
ireland,2014-09-01,2014,9,0.0819550460467724,0.0579280075581714,-99999.0
ireland,2014-10-01,2014,10,0.15138983928052596,0.08027176448782214,-99999.0
ireland,2014-11-01,2014,11,0.025677757878415974,0.14852679171794847,-99999.0
ireland,2014-12-01,2014,12,0.13597499674251523,0.2101902139116838,-99999.0
ireland,2015-01-01,2015,1,0.045987624605071886,0.2662519244814412,-99999.0
ireland,2015-02-01,2015,2,0.17131871695145406,0.25267565162711136,-99999.0
ireland,2015-03-01,2015,3,0.14089637416984147,0.23928388839728143,-99999.0
ireland,2015-04-01,2015,4,0.12064817405308759,0.22607254234679175,-99999.0
ireland,2015-05-01,2015,5,0.01324639246040249,0.23562888166482665,-99999.0
ireland,2015-06-01,2015,6,0.007483689372694613,0.2449280168944874,-99999.0
ireland,2015-07-01,2015,7,0.05208691875415994,0.25398057919766615,-99999.0
ireland,2015-08-01,2015,8,-0.021594683533539438,0.2397723798381719,-99999.0
ireland,2015-09-01,2015,9,0.006532826245582157,0.2255943668065612,-99999.0
ireland,2015-10-01,2015,10,0.06931287592916391,0.21144504755443805,-99999.0
ireland,2015-11-01,2015,11,-0.039481609148356966,0.03581703140767445,-99999.0
ireland,2015-12-01,2015,12,-0.14101509320306604,-0.12654577504765996,-99999.0
ireland,2016-01-01,2016,1,0.0037677996667397906,-0.27763435796747515,-99999.0
ireland,2016-02-01,2016,2,-0.08501854014027188,-0.26784080031113433,-99999.0
ireland,2016-03-01,2016,3,0.03769012462765886,-0.2581595907096954,-99999.0
ireland,2016-04-01,2016,4,0.0007097845162071792,-0.24858847482727953,-99999.0
ireland,2016-05-01,2016,5,-0.061851863521695805,-0.27305177130473623,-99999.0
ireland,2016-06-01,2016,6,0.0010191171253062237,-0.2969326338227347,-99999.0
ireland,2016-07-01,2016,7,-0.055512367557394526,-0.3202536844412762,-99999.0
ireland,2016-08-01,2016,8,-0.11256966221489861,-0.29158900381249,-99999.0
ireland,2016-09-01,2016,9,-0.15556273002655985,-0.26407892481920214,-99999.0
ireland,2016-10-01,2016,10,-0.040095935307700614,-0.2376452973011247,-99999.0
ireland,2016-11-01,2016,11,0.23463228874429376,-0.13782706113387633,-99999.0
ireland,2016-12-01,2016,12,0.16593374242957637,-0.044588082020432296,-99999.0
ireland,2017-01-01,2017,1,0.05738660495391912,0.04307101764276311,-99999.0
ireland,2017-02-01,2017,2,-0.05062438384614154,0.0442681584480944,-99999.0
ireland,2017-03-01,2017,3,-0.14288955257358182,0.045444287765466385,-99999.0
ireland,2017-04-01,2017,4,-0.1228436933280328,0.046599832264096364,-99999.0
ireland,2017-05-01,2017,5,0.03612269538809798,0.07488721317990255,-99999.0
ireland,2017-06-01,2017,6,-0.14654250098776345,0.10257233987979575,-99999.0
ireland,2017-07-01,2017,7,-0.1194731889795051,0.12967684219751874,-99999.0
ireland,2017-08-01,2017,8,0.08078002751786073,0.08582568759626241,-99999.0
ireland,2017-09-01,2017,9,0.17935830304044842,0.04394652297740009,-99999.0
ireland,2017-10-01,2017,10,-0.19507561094919978,0.0038965794117657993,-99999.0
ireland,2017-11-01,2017,11,-0.24638057474412633,0.017552389002140956,-99999.0
ireland,2017-12-01,2017,12,-0.003409018867639446,0.03139952557638637,-99999.0
ireland,2018-01-01,2018,1,-0.10266229548286887,0.04544339350938742,-99999.0
ireland,2018-02-01,2018,2,0.014034065523741646,0.043494170651889874,-99999.0
ireland,2018-03-01,2018,3,0.07558841895490431,0.0415625159037738,-99999.0
ireland,2018-04-01,2018,4,0.05435410802209262,0.03964821294439247,-99999.0
ireland,2018-05-01,2018,5,-0.027561027657927895,0.010440397375131028,-99999.0
ireland,2018-06-01,2018,6,0.10882337383022644,-0.018196917480203467,-99999.0
ireland,2018-07-01,2018,7,0.09308759338303929,-0.04628323294715386,-99999.0
ireland,2018-08-01,2018,8,-0.004020277009285422,-0.045659990064564226,-99999.0
ireland,2018-09-01,2018,9,-0.07117005214336558,-0.045510203363392066,-99999.0
ireland,2018-10-01,2018,10,0.1585832646696872,-0.04578278898762633,-99999.0
ireland,2018-11-01,2018,11,0.06970112601058531,-0.052870840143178555,-99999.0
