,country,date,year,quarter,co2
107,belgium,2006-10-01,2006,4,32207954154.0
108,belgium,2007-01-01,2007,1,34181557620.0
109,belgium,2007-04-01,2007,2,26827967945.0
110,belgium,2007-07-01,2007,3,24744341274.0
111,belgium,2007-10-01,2007,4,34533129010.0
112,belgium,2008-01-01,2008,1,35154776830.0
113,belgium,2008-04-01,2008,2,27877335659.0
114,belgium,2008-07-01,2008,3,25690844247.0
115,belgium,2008-10-01,2008,4,34542146390.0
116,belgium,2009-01-01,2009,1,34524871050.0
117,belgium,2009-04-01,2009,2,25451251826.0
118,belgium,2009-07-01,2009,3,24208797640.0
119,belgium,2009-10-01,2009,4,32291144047.0
120,belgium,2010-01-01,2010,1,37607893930.0
121,belgium,2010-04-01,2010,2,28848759260.0
122,belgium,2010-07-01,2010,3,25581358097.0
123,belgium,2010-10-01,2010,4,35291912070.0
124,belgium,2011-01-01,2011,1,34915975670.0
125,belgium,2011-04-01,2011,2,25931208302.0
126,belgium,2011-07-01,2011,3,23867489248.0
127,belgium,2011-10-01,2011,4,31900871532.0
128,belgium,2012-01-01,2012,1,34550460160.0
129,belgium,2012-04-01,2012,2,26423941778.0
130,belgium,2012-07-01,2012,3,23792600214.0
131,belgium,2012-10-01,2012,4,31644172006.0
132,belgium,2013-01-01,2013,1,37352509080.0
133,belgium,2013-04-01,2013,2,27314958477.0
134,belgium,2013-07-01,2013,3,23075291405.0
135,belgium,2013-10-01,2013,4,30552968639.0
136,belgium,2014-01-01,2014,1,31172825610.0
137,belgium,2014-04-01,2014,2,25057076369.0
138,belgium,2014-07-01,2014,3,23170500019.0
139,belgium,2014-10-01,2014,4,31119938763.0
140,belgium,2015-01-01,2015,1,34746744450.0
141,belgium,2015-04-01,2015,2,26123192199.0
142,belgium,2015-07-01,2015,3,24088836518.0
143,belgium,2015-10-01,2015,4,30606233760.0
144,belgium,2016-01-01,2016,1,33204393820.0
145,belgium,2016-04-01,2016,2,25736099584.0
146,belgium,2016-07-01,2016,3,23052903552.0
147,belgium,2016-10-01,2016,4,33243522800.0
148,belgium,2017-01-01,2017,1,33460145050.0
149,belgium,2017-04-01,2017,2,25995235063.0
150,belgium,2017-07-01,2017,3,23009559510.0
151,belgium,2017-10-01,2017,4,31571302891.0
152,belgium,2018-01-01,2018,1,33586602280.0
153,belgium,2018-04-01,2018,2,26174949471.0
154,belgium,2018-07-01,2018,3,23030331057.0
155,belgium,2018-10-01,2018,4,31706119455.0
156,belgium,2019-01-01,2019,1,33245370020.0
157,belgium,2019-04-01,2019,2,25934612730.0
158,belgium,2019-07-01,2019,3,22959192167.0
159,belgium,2019-10-01,2019,4,31439738436.0
160,bulgaria,2000-01-01,2000,1,13823243697.0
161,bulgaria,2000-04-01,2000,2,11941594009.0
162,bulgaria,2000-07-01,2000,3,12084038609.0
163,bulgaria,2000-10-01,2000,4,13092740607.0
164,bulgaria,2001-01-01,2001,1,13451597098.0
165,bulgaria,2001-04-01,2001,2,12530378667.0
166,bulgaria,2001-07-01,2001,3,12754406761.0
167,bulgaria,2001-10-01,2001,4,14488397652.0
168,bulgaria,2002-01-01,2002,1,13401085012.0
169,bulgaria,2002-04-01,2002,2,12033273216.0
170,bulgaria,2002-07-01,2002,3,11938571664.0
171,bulgaria,2002-10-01,2002,4,13535140872.0
172,bulgaria,2003-01-01,2003,1,14858596171.0
173,bulgaria,2003-04-01,2003,2,13396555791.0
174,bulgaria,2003-07-01,2003,3,13806211428.0
175,bulgaria,2003-10-01,2003,4,14390752793.0
176,bulgaria,2004-01-01,2004,1,14746540175.0
177,bulgaria,2004-04-01,2004,2,12985657307.0
178,bulgaria,2004-07-01,2004,3,12873684249.0
179,bulgaria,2004-10-01,2004,4,14444010767.0
180,bulgaria,2005-01-01,2005,1,14875998996.0
181,bulgaria,2005-04-01,2005,2,13116648891.0
182,bulgaria,2005-07-01,2005,3,13377712546.0
183,bulgaria,2005-10-01,2005,4,14515321748.0
184,bulgaria,2006-01-01,2006,1,15341870511.0
185,bulgaria,2006-04-01,2006,2,13441964290.0
186,bulgaria,2006-07-01,2006,3,13764942932.0
187,bulgaria,2006-10-01,2006,4,14613152091.0
188,bulgaria,2007-01-01,2007,1,15378937289.0
189,bulgaria,2007-04-01,2007,2,14158509800.0
190,bulgaria,2007-07-01,2007,3,14429339434.0
191,bulgaria,2007-10-01,2007,4,16452750543.0
192,bulgaria,2008-01-01,2008,1,15318580976.0
193,bulgaria,2008-04-01,2008,2,13787644848.0
194,bulgaria,2008-07-01,2008,3,13988176841.0
195,bulgaria,2008-10-01,2008,4,15385941190.0
196,bulgaria,2009-01-01,2009,1,13586565704.0
197,bulgaria,2009-04-01,2009,2,11541888360.0
198,bulgaria,2009-07-01,2009,3,11878758628.0
199,bulgaria,2009-10-01,2009,4,13005487621.0
200,bulgaria,2010-01-01,2010,1,14415530599.0
201,bulgaria,2010-04-01,2010,2,12370871075.0
202,bulgaria,2010-07-01,2010,3,12908423404.0
203,bulgaria,2010-10-01,2010,4,13980134757.0
204,bulgaria,2011-01-01,2011,1,16445624167.0
205,bulgaria,2011-04-01,2011,2,13801536821.0
206,bulgaria,2011-07-01,2011,3,14035473933.0
207,bulgaria,2011-10-01,2011,4,15168214347.0
208,bulgaria,2012-01-01,2012,1,15451325144.0
209,bulgaria,2012-04-01,2012,2,12347358458.0
210,bulgaria,2012-07-01,2012,3,12828040825.0
211,bulgaria,2012-10-01,2012,4,14196286678.0
212,bulgaria,2013-01-01,2013,1,13680832682.0
213,bulgaria,2013-04-01,2013,2,11351545198.0
214,bulgaria,2013-07-01,2013,3,11946963118.0
215,bulgaria,2013-10-01,2013,4,13304942864.0
216,bulgaria,2014-01-01,2014,1,13614231644.0
217,bulgaria,2014-04-01,2014,2,12151677308.0
218,bulgaria,2014-07-01,2014,3,12874164003.0
219,bulgaria,2014-10-01,2014,4,14031277545.0
220,bulgaria,2015-01-01,2015,1,14889135266.0
221,bulgaria,2015-04-01,2015,2,12443554746.0
222,bulgaria,2015-07-01,2015,3,13221974398.0
223,bulgaria,2015-10-01,2015,4,14627272204.0
224,bulgaria,2016-01-01,2016,1,13487458255.0
225,bulgaria,2016-04-01,2016,2,11182265586.0
226,bulgaria,2016-07-01,2016,3,13083707280.0
227,bulgaria,2016-10-01,2016,4,15179378131.0
228,bulgaria,2017-01-01,2017,1,15582100853.0
229,bulgaria,2017-04-01,2017,2,12261602280.0
230,bulgaria,2017-07-01,2017,3,12874068319.0
231,bulgaria,2017-10-01,2017,4,14713791690.0
232,bulgaria,2018-01-01,2018,1,15156153118.0
233,bulgaria,2018-04-01,2018,2,12116036312.0
234,bulgaria,2018-07-01,2018,3,12565367560.0
235,bulgaria,2018-10-01,2018,4,14420249605.0
236,bulgaria,2019-01-01,2019,1,14766740851.0
237,bulgaria,2019-04-01,2019,2,11912391207.0
238,bulgaria,2019-07-01,2019,3,12274562371.0
239,bulgaria,2019-10-01,2019,4,14111452282.0
240,croatia,2000-01-01,2000,1,8121390899.0
241,croatia,2000-04-01,2000,2,4980682230.0
242,croatia,2000-07-01,2000,3,4650428331.0
243,croatia,2000-10-01,2000,4,6443099505.0
244,croatia,2001-01-01,2001,1,7522243383.0
245,croatia,2001-04-01,2001,2,5513176611.0
246,croatia,2001-07-01,2001,3,4924347199.0
247,croatia,2001-10-01,2001,4,7763415810.0
248,croatia,2002-01-01,2002,1,8242305680.0
249,croatia,2002-04-01,2002,2,5730159791.0
250,croatia,2002-07-01,2002,3,5128817916.0
251,croatia,2002-10-01,2002,4,7460646823.0
252,croatia,2003-01-01,2003,1,9156806330.0
253,croatia,2003-04-01,2003,2,6041603486.0
254,croatia,2003-07-01,2003,3,5488771351.0
255,croatia,2003-10-01,2003,4,7860473435.0
256,croatia,2004-01-01,2004,1,9231925052.0
257,croatia,2004-04-01,2004,2,6173628482.0
258,croatia,2004-07-01,2004,3,5607902249.0
259,croatia,2004-10-01,2004,4,7817009944.0
260,croatia,2005-01-01,2005,1,9359853802.0
261,croatia,2005-04-01,2005,2,6176305519.0
262,croatia,2005-07-01,2005,3,5664297754.0
263,croatia,2005-10-01,2005,4,8116960330.0
264,croatia,2006-01-01,2006,1,9592153083.0
265,croatia,2006-04-01,2006,2,6166519178.0
266,croatia,2006-07-01,2006,3,5761391334.0
267,croatia,2006-10-01,2006,4,7855608497.0
268,croatia,2007-01-01,2007,1,8767091022.0
269,croatia,2007-04-01,2007,2,6546656387.0
270,croatia,2007-07-01,2007,3,6157582124.0
271,croatia,2007-10-01,2007,4,9336342669.0
272,croatia,2008-01-01,2008,1,9054432086.0
273,croatia,2008-04-01,2008,2,6447555328.0
274,croatia,2008-07-01,2008,3,5991572141.0
275,croatia,2008-10-01,2008,4,8189616576.0
276,croatia,2009-01-01,2009,1,8792872946.0
277,croatia,2009-04-01,2009,2,5667184914.0
278,croatia,2009-07-01,2009,3,5411216927.0
279,croatia,2009-10-01,2009,4,7782015946.0
280,croatia,2010-01-01,2010,1,8577914481.0
281,croatia,2010-04-01,2010,2,5662541994.0
282,croatia,2010-07-01,2010,3,5237647295.0
283,croatia,2010-10-01,2010,4,7700731920.0
284,croatia,2011-01-01,2011,1,8351845942.0
285,croatia,2011-04-01,2011,2,5431980626.0
286,croatia,2011-07-01,2011,3,5117206194.0
287,croatia,2011-10-01,2011,4,7640476034.0
288,croatia,2012-01-01,2012,1,8119588903.0
289,croatia,2012-04-01,2012,2,5271305117.0
290,croatia,2012-07-01,2012,3,4850339877.0
291,croatia,2012-10-01,2012,4,6861289227.0
292,croatia,2013-01-01,2013,1,8013067527.0
293,croatia,2013-04-01,2013,2,5158454888.0
294,croatia,2013-07-01,2013,3,4782629464.0
295,croatia,2013-10-01,2013,4,6776859303.0
296,croatia,2014-01-01,2014,1,7032309622.0
297,croatia,2014-04-01,2014,2,5073261735.0
298,croatia,2014-07-01,2014,3,4597811681.0
299,croatia,2014-10-01,2014,4,6663432762.0
300,croatia,2015-01-01,2015,1,7608685358.0
301,croatia,2015-04-01,2015,2,5123197917.0
302,croatia,2015-07-01,2015,3,4704118687.0
303,croatia,2015-10-01,2015,4,6885536587.0
304,croatia,2016-01-01,2016,1,7423989779.0
305,croatia,2016-04-01,2016,2,5053890992.0
306,croatia,2016-07-01,2016,3,4753719443.0
307,croatia,2016-10-01,2016,4,7397729665.0
308,croatia,2017-01-01,2017,1,7818758545.0
309,croatia,2017-04-01,2017,2,5288557713.0
310,croatia,2017-07-01,2017,3,4851605019.0
311,croatia,2017-10-01,2017,4,7068994797.0
312,croatia,2018-01-01,2018,1,7538245566.0
313,croatia,2018-04-01,2018,2,5151910412.0
314,croatia,2018-07-01,2018,3,4725654041.0
315,croatia,2018-10-01,2018,4,6840176417.0
316,croatia,2019-01-01,2019,1,7617771026.0
317,croatia,2019-04-01,2019,2,5271329192.0
318,croatia,2019-07-01,2019,3,4854305233.0
319,croatia,2019-10-01,2019,4,6951535161.0
320,cyprus,2000-01-01,2000,1,1859939845.0
321,cyprus,2000-04-01,2000,2,1684959356.7
322,cyprus,2000-07-01,2000,3,1696216668.4
323,cyprus,2000-10-01,2000,4,1776196981.1
324,cyprus,2001-01-01,2001,1,1754485409.2000003
325,cyprus,2001-04-01,2001,2,1657877565.6
326,cyprus,2001-07-01,2001,3,1678072291.6
327,cyprus,2001-10-01,2001,4,1817600076.8
328,cyprus,2002-01-01,2002,1,1855054527.9
329,cyprus,2002-04-01,2002,2,1704445100.0
330,cyprus,2002-07-01,2002,3,1702267705.9
331,cyprus,2002-10-01,2002,4,1839167265.4
332,cyprus,2003-01-01,2003,1,2033617665.9
333,cyprus,2003-04-01,2003,2,1900742125.8000002
334,cyprus,2003-07-01,2003,3,1957651660.4
335,cyprus,2003-10-01,2003,4,1980982804.7
336,cyprus,2004-01-01,2004,1,2030564066.0
337,cyprus,2004-04-01,2004,2,1866788856.6999998
338,cyprus,2004-07-01,2004,3,1855483630.8
339,cyprus,2004-10-01,2004,4,2008421337.1
340,cyprus,2005-01-01,2005,1,2152911596.8
341,cyprus,2005-04-01,2005,2,1855740674.2000003
342,cyprus,2005-07-01,2005,3,1900694224.6999998
343,cyprus,2005-10-01,2005,4,2015492942.7
344,cyprus,2006-01-01,2006,1,2184796312.2000003
345,cyprus,2006-04-01,2006,2,1860399819.4
346,cyprus,2006-07-01,2006,3,1913931536.1999998
347,cyprus,2006-10-01,2006,4,2018998399.4
348,cyprus,2007-01-01,2007,1,2237656391.6
349,cyprus,2007-04-01,2007,2,1948815977.0
350,cyprus,2007-07-01,2007,3,1986144438.7
351,cyprus,2007-10-01,2007,4,2188300729.9
352,cyprus,2008-01-01,2008,1,2346648213.7
353,cyprus,2008-04-01,2008,2,2018330376.9
354,cyprus,2008-07-01,2008,3,2051874715.6
355,cyprus,2008-10-01,2008,4,2205678574.7
356,cyprus,2009-01-01,2009,1,2368646837.7
357,cyprus,2009-04-01,2009,2,1941089815.6999998
358,cyprus,2009-07-01,2009,3,2000982482.7
359,cyprus,2009-10-01,2009,4,2127780593.8
360,cyprus,2010-01-01,2010,1,2257353507.2
361,cyprus,2010-04-01,2010,2,1875748337.5
362,cyprus,2010-07-01,2010,3,1953041459.3
363,cyprus,2010-10-01,2010,4,2045800017.0
364,cyprus,2011-01-01,2011,1,2194804774.6
365,cyprus,2011-04-01,2011,2,1814948746.6
366,cyprus,2011-07-01,2011,3,1845803571.1999998
367,cyprus,2011-10-01,2011,4,1981553525.6999998
368,cyprus,2012-01-01,2012,1,2121837059.6
369,cyprus,2012-04-01,2012,2,1645578439.1999998
370,cyprus,2012-07-01,2012,3,1706749241.7
371,cyprus,2012-10-01,2012,4,1816795028.4
372,cyprus,2013-01-01,2013,1,1836707344.4
373,cyprus,2013-04-01,2013,2,1511937268.3
374,cyprus,2013-07-01,2013,3,1583554632.9
375,cyprus,2013-10-01,2013,4,1732858808.4
376,cyprus,2014-01-01,2014,1,1899430442.1999998
377,cyprus,2014-04-01,2014,2,1625220900.1999998
378,cyprus,2014-07-01,2014,3,1709209121.3000002
379,cyprus,2014-10-01,2014,4,1789540487.4
380,cyprus,2015-01-01,2015,1,1961240158.6
381,cyprus,2015-04-01,2015,2,1600537937.6999998
382,cyprus,2015-07-01,2015,3,1680949958.6
383,cyprus,2015-10-01,2015,4,1820873664.1999998
384,cyprus,2016-01-01,2016,1,1996129295.6
385,cyprus,2016-04-01,2016,2,1709776972.5
386,cyprus,2016-07-01,2016,3,1793162244.4
387,cyprus,2016-10-01,2016,4,1980513007.3
388,cyprus,2017-01-01,2017,1,2245429281.8
389,cyprus,2017-04-01,2017,2,1773956248.4
390,cyprus,2017-07-01,2017,3,1767127980.8
391,cyprus,2017-10-01,2017,4,1903232388.3
392,cyprus,2018-01-01,2018,1,2196220918.9
393,cyprus,2018-04-01,2018,2,1752041905.3
394,cyprus,2018-07-01,2018,3,1746745685.6
395,cyprus,2018-10-01,2018,4,1877745350.6
396,cyprus,2019-01-01,2019,1,2221066930.1
397,cyprus,2019-04-01,2019,2,1747719050.8000002
398,cyprus,2019-07-01,2019,3,1741160936.3000002
399,cyprus,2019-10-01,2019,4,1877236702.1
400,czech republic,2000-01-01,2000,1,43333407720.0
401,czech republic,2000-04-01,2000,2,29413145124.0
402,czech republic,2000-07-01,2000,3,27328372895.0
403,czech republic,2000-10-01,2000,4,38186701030.0
404,czech republic,2001-01-01,2001,1,42885560230.0
405,czech republic,2001-04-01,2001,2,29868902202.0
406,czech republic,2001-07-01,2001,3,26003595480.0
407,czech republic,2001-10-01,2001,4,40028957880.0
408,czech republic,2002-01-01,2002,1,39363873190.0
409,czech republic,2002-04-01,2002,2,29747050715.0
410,czech republic,2002-07-01,2002,3,26615661243.0
411,czech republic,2002-10-01,2002,4,39015312530.0
412,czech republic,2003-01-01,2003,1,44600847720.0
413,czech republic,2003-04-01,2003,2,28919922234.0
414,czech republic,2003-07-01,2003,3,26287183753.0
415,czech republic,2003-10-01,2003,4,38831539820.0
416,czech republic,2004-01-01,2004,1,44704663810.0
417,czech republic,2004-04-01,2004,2,30621868341.0
418,czech republic,2004-07-01,2004,3,26856082233.0
419,czech republic,2004-10-01,2004,4,38705592540.0
420,czech republic,2005-01-01,2005,1,42450496700.0
421,czech republic,2005-04-01,2005,2,30192428847.0
422,czech republic,2005-07-01,2005,3,26639297472.0
423,czech republic,2005-10-01,2005,4,38241335980.0
424,czech republic,2006-01-01,2006,1,43497101670.0
425,czech republic,2006-04-01,2006,2,29515192254.0
426,czech republic,2006-07-01,2006,3,27922386109.0
427,czech republic,2006-10-01,2006,4,38021056170.0
428,czech republic,2007-01-01,2007,1,42927625640.0
429,czech republic,2007-04-01,2007,2,30103910372.0
430,czech republic,2007-07-01,2007,3,28351761186.0
431,czech republic,2007-10-01,2007,4,40821869180.0
432,czech republic,2008-01-01,2008,1,41438456530.0
433,czech republic,2008-04-01,2008,2,30696678835.0
434,czech republic,2008-07-01,2008,3,27470411392.0
435,czech republic,2008-10-01,2008,4,38052626890.0
436,czech republic,2009-01-01,2009,1,42168308690.0
437,czech republic,2009-04-01,2009,2,26857100856.0
438,czech republic,2009-07-01,2009,3,25039128585.0
439,czech republic,2009-10-01,2009,4,36742852270.0
440,czech republic,2010-01-01,2010,1,40248315870.0
441,czech republic,2010-04-01,2010,2,28397816352.0
442,czech republic,2010-07-01,2010,3,26329569005.0
443,czech republic,2010-10-01,2010,4,38062060950.0
444,czech republic,2011-01-01,2011,1,41480582870.0
445,czech republic,2011-04-01,2011,2,28668510997.0
446,czech republic,2011-07-01,2011,3,24652095324.0
447,czech republic,2011-10-01,2011,4,36359081650.0
448,czech republic,2012-01-01,2012,1,39254201090.0
449,czech republic,2012-04-01,2012,2,27277243997.0
450,czech republic,2012-07-01,2012,3,24528178235.0
451,czech republic,2012-10-01,2012,4,37189886290.0
452,czech republic,2013-01-01,2013,1,39977089610.0
453,czech republic,2013-04-01,2013,2,26244741396.0
454,czech republic,2013-07-01,2013,3,23688409463.0
455,czech republic,2013-10-01,2013,4,34682926370.0
456,czech republic,2014-01-01,2014,1,36794195090.0
457,czech republic,2014-04-01,2014,2,26278910579.0
458,czech republic,2014-07-01,2014,3,23898230569.0
459,czech republic,2014-10-01,2014,4,35527183140.0
460,czech republic,2015-01-01,2015,1,38573367800.0
461,czech republic,2015-04-01,2015,2,26145373463.0
462,czech republic,2015-07-01,2015,3,24173051420.0
463,czech republic,2015-10-01,2015,4,35179528060.0
464,czech republic,2016-01-01,2016,1,38128027180.0
465,czech republic,2016-04-01,2016,2,26964603980.0
466,czech republic,2016-07-01,2016,3,24220150286.0
467,czech republic,2016-10-01,2016,4,37080621960.0
468,czech republic,2017-01-01,2017,1,38978597030.0
469,czech republic,2017-04-01,2017,2,28044728307.0
470,czech republic,2017-07-01,2017,3,24683144726.0
471,czech republic,2017-10-01,2017,4,35249640970.0
472,czech republic,2018-01-01,2018,1,38389813820.0
473,czech republic,2018-04-01,2018,2,27609544583.0
474,czech republic,2018-07-01,2018,3,24725975971.0
475,czech republic,2018-10-01,2018,4,34927176830.0
476,czech republic,2019-01-01,2019,1,37373118490.0
477,czech republic,2019-04-01,2019,2,27026070256.0
478,czech republic,2019-07-01,2019,3,24043433350.0
479,czech republic,2019-10-01,2019,4,34073489790.0
480,france,2000-01-01,2000,1,139133057630.0
481,france,2000-04-01,2000,2,99321927570.0
482,france,2000-07-01,2000,3,87962535800.0
483,france,2000-10-01,2000,4,123615700690.0
484,france,2001-01-01,2001,1,131081893100.0
485,france,2001-04-01,2001,2,101917211900.0
486,france,2001-07-01,2001,3,90036711760.0
487,france,2001-10-01,2001,4,130916456810.0
488,france,2002-01-01,2002,1,133406666420.0
489,france,2002-04-01,2002,2,102417756290.0
490,france,2002-07-01,2002,3,88059240770.0
491,france,2002-10-01,2002,4,123353695550.0
492,france,2003-01-01,2003,1,138622676440.0
493,france,2003-04-01,2003,2,98541360770.0
494,france,2003-07-01,2003,3,88234110960.0
495,france,2003-10-01,2003,4,128058384240.0
496,france,2004-01-01,2004,1,138514408720.0
497,france,2004-04-01,2004,2,101718038420.0
498,france,2004-07-01,2004,3,88100022320.0
499,france,2004-10-01,2004,4,126779969290.0
500,france,2005-01-01,2005,1,141450263910.0
501,france,2005-04-01,2005,2,100643088950.0
502,france,2005-07-01,2005,3,89689507640.0
503,france,2005-10-01,2005,4,129002556490.0
504,france,2006-01-01,2006,1,144705071270.0
505,france,2006-04-01,2006,2,95877053660.0
506,france,2006-07-01,2006,3,85925474000.0
507,france,2006-10-01,2006,4,119156595070.0
508,france,2007-01-01,2007,1,129406586270.0
509,france,2007-04-01,2007,2,94073139640.0
510,france,2007-07-01,2007,3,87583242020.0
511,france,2007-10-01,2007,4,132268729290.0
512,france,2008-01-01,2008,1,130605383310.0
513,france,2008-04-01,2008,2,98010727530.0
514,france,2008-07-01,2008,3,87922918030.0
515,france,2008-10-01,2008,4,127784405470.0
516,france,2009-01-01,2009,1,137582244350.0
517,france,2009-04-01,2009,2,90951449420.0
518,france,2009-07-01,2009,3,84265736010.0
519,france,2009-10-01,2009,4,121657000960.0
520,france,2010-01-01,2010,1,136169830600.0
521,france,2010-04-01,2010,2,96906186220.0
522,france,2010-07-01,2010,3,86701561140.0
523,france,2010-10-01,2010,4,126805819080.0
524,france,2011-01-01,2011,1,132990592150.0
525,france,2011-04-01,2011,2,91768087960.0
526,france,2011-07-01,2011,3,85505729170.0
527,france,2011-10-01,2011,4,118476809340.0
528,france,2012-01-01,2012,1,134060762000.0
529,france,2012-04-01,2012,2,97947451910.0
530,france,2012-07-01,2012,3,86792743130.0
531,france,2012-10-01,2012,4,119141525990.0
532,france,2013-01-01,2013,1,136015436400.0
533,france,2013-04-01,2013,2,98549844310.0
534,france,2013-07-01,2013,3,85194596750.0
535,france,2013-10-01,2013,4,117115523670.0
536,france,2014-01-01,2014,1,120132235120.0
537,france,2014-04-01,2014,2,88292055010.0
538,france,2014-07-01,2014,3,76660800600.0
539,france,2014-10-01,2014,4,114048621990.0
540,france,2015-01-01,2015,1,129309195570.0
541,france,2015-04-01,2015,2,86448668600.0
542,france,2015-07-01,2015,3,79395748880.0
543,france,2015-10-01,2015,4,112591379790.0
544,france,2016-01-01,2016,1,120375431280.0
545,france,2016-04-01,2016,2,90897469580.0
546,france,2016-07-01,2016,3,81542336750.0
547,france,2016-10-01,2016,4,120424963370.0
548,france,2017-01-01,2017,1,123542140270.0
549,france,2017-04-01,2017,2,91493364890.0
550,france,2017-07-01,2017,3,83129396830.0
551,france,2017-10-01,2017,4,118964430150.0
552,france,2018-01-01,2018,1,119429619090.0
